X,Y,m,M,q,x,y,k,r,d
650.7633,-102.689,-6.986,-7.55,0.401,636.5058,6.0403,1,351.6675655,50.7221298
752.9036,-95.6283,-6.619,-7.186,0.535,740.9101,6.284,1,351.6681995,50.7207736
2431.2089,11.357,-5.988,-6.602,0.652,2425.7466,6.1583,1,351.6787961,50.6985329
2663.3279,25.8927,-9.084,-9.703,0.592,2654.9131,6.4377,1,351.6802662,50.695458
2962.3465,44.1137,-5.738,-6.363,0.577,2948.9216,6.4527,1,351.6821701,50.6914994
3272.7133,62.0279,-6.611,-7.243,0.542,3252.772,5.6708,1,351.6841662,50.6873953
3331.927,67.2825,-6.608,-7.241,0.613,3310.6108,7.3284,1,351.6845095,50.6866034
3357.0958,68.4462,-7.525,-8.159,0.547,3335.1675,6.9992,1,351.6846772,50.686272
3457.9379,75.11,-15.004,-15.639,0.693,3433.5139,7.6309,1,351.6853085,50.6849345
3819.2304,95.6494,-8.673,-9.315,0.65,3784.7253,6.8216,1,351.6876379,50.6801584
185.9826,-132.2777,-10.551,-11.099,0.615,158.316,7.9083,1,351.6646282,50.7282886
553.8874,-107.1182,-6.735,-7.296,0.452,537.2493,8.0767,1,351.6669178,50.7234051
2515.986,18.3284,-6.936,-7.551,0.25,2509.5361,7.8665,1,351.6792991,50.6974018
3906.9313,102.4961,-6.596,-7.24,0.358,3869.7727,8.4582,1,351.6881652,50.6789901
238.2984,-127.7409,-6.735,-7.285,0.413,212.3927,8.848,1,351.6649342,50.7275896
2668.9711,28.6673,-8.872,-9.491,0.683,2660.4927,8.7989,1,351.6802525,50.6953716
2803.6705,37.3271,-8.723,-9.345,0.087,2793.0996,9.2223,1,351.6811009,50.6935862
4054.8083,112.1134,-11.951,-12.597,0.686,4012.957,9.3879,1,351.6890937,50.6770294
438.7576,-113.3627,-6.896,-7.453,0.53,419.0101,9.5793,1,351.6661681,50.7249255
1618.2846,-35.6772,-7.444,-8.037,0.24,1616.3059,9.9143,1,351.6735668,50.7092827
2221.9167,2.0495,-7.354,-7.963,0.387,2218.4263,9.6979,1,351.6773928,50.701287
2503.4148,20.1547,-7.266,-7.881,0.646,2497.1389,10.395,1,351.6791661,50.6975557
3225.9892,63.0951,-7.545,-8.176,0.245,3207.1511,9.4206,1,351.6837888,50.687995
2673.7095,31.0887,-9.618,-10.237,0.623,2665.1777,10.8705,1,351.6802391,50.6952986
2890.469,44.0751,-6.53,-7.154,0.543,2878.4033,10.6505,1,351.6816237,50.69243
2955.2032,48.5358,-8.706,-9.331,0.695,2941.9507,11.1644,1,351.6820253,50.6915705
3161.1444,60.3031,-9.002,-9.632,0.503,3143.7417,10.4963,1,351.6833523,50.6888479
2747.9223,36.5986,-6.812,-7.433,0.408,2738.2786,11.8171,1,351.6806914,50.6943113
3457.8864,78.3667,-14.992,-15.628,0.499,3433.4961,10.7861,1,351.6852415,50.6849194
92.1879,-133.604,-8.558,-9.102,0.61,61.1504,12.9825,1,351.6639404,50.7295091
93.9683,-133.7801,-8.559,-9.103,0.56,62.998,12.6866,1,351.6639576,50.7294869
795.9361,-85.8845,-6.4,-6.969,0.399,784.8218,13.0564,1,351.6683282,50.7201696
833.8028,-83.8817,-7.789,-8.358,0.19,823.4269,12.5552,1,351.6685758,50.7196698
