X,Y,m,M,q,x,y,k,r,d
650.9678,-102.8706,-7.075,-7.639,0.349,636.7153,5.848,1,351.6675701,50.7221278
752.6902,-95.7136,-6.566,-7.134,0.535,740.6922,6.214,1,351.6681989,50.7207766
3273.4172,62.1271,-6.424,-7.056,0.596,3253.4602,5.7261,1,351.6841688,50.6873855
3359.0299,67.6378,-6.684,-7.318,0.494,3337.0461,6.1046,1,351.6847077,50.6862507
336.2325,-123.311,-7.604,-8.157,0.665,313.4589,6.6238,1,351.6655894,50.7263004
2962.5842,44.1952,-5.988,-6.613,0.621,2949.1555,6.5178,1,351.6821694,50.6914957
3331.9183,67.2512,-6.66,-7.293,0.393,3310.6021,7.2986,1,351.6845093,50.6866035
3457.9405,75.1032,-15.013,-15.649,0.694,3433.5164,7.6243,1,351.6853079,50.6849343
2515.8308,18.3255,-6.769,-7.384,0.372,2509.3828,7.873,1,351.6792972,50.6974037
3906.7442,102.4884,-6.586,-7.23,0.467,3869.5916,8.4613,1,351.6881632,50.6789923
43.9233,-141.4136,-6.114,-6.656,0.679,11.0877,8.5586,1,351.6637314,50.7301713
238.3285,-127.7204,-6.487,-7.037,0.526,212.4239,8.8662,1,351.6649333,50.7275889
2803.6963,37.2605,-8.685,-9.307,0.142,2793.1245,9.1561,1,351.6811017,50.693586
3225.9672,63.0197,-7.587,-8.218,0.19,3207.1289,9.3489,1,351.6837894,50.6879955
3471.3018,77.7381,-7.926,-8.562,0.673,3446.5518,9.4049,1,351.6853557,50.6847486
438.5984,-113.3677,-7.143,-7.7,0.319,418.8464,9.5849,1,351.6661662,50.7249274
1618.2699,-35.6883,-7.424,-8.017,0.207,1616.2913,9.9044,1,351.6735662,50.7092827
2503.0581,20.1279,-7.208,-7.824,0.328,2496.7864,10.3903,1,351.6791631,50.6975603
3437.4841,76.1789,-6.616,-7.251,0.689,3413.5989,9.8445,1,351.6851302,50.6851939
4070.4464,113.9874,-6.984,-7.63,0.244,4028.0957,10.3157,1,351.6891737,50.6768177
1714.5442,-28.4021,-5.725,-6.321,0.673,1712.7511,11.0536,1,351.6741506,50.7080014
2890.2163,44.1664,-6.543,-7.168,0.481,2878.156,10.754,1,351.6816192,50.6924327
3150.9625,60.5768,-5.949,-6.578,0.654,3133.7839,11.3563,1,351.6832685,50.6889782
2662.0728,31.2257,-8.556,-9.175,0.588,2653.7119,11.6958,1,351.6801469,50.6954484
2748.065,36.463,-6.843,-7.464,0.408,2738.418,11.6769,1,351.6806945,50.69431
3457.9603,78.3642,-14.961,-15.596,0.483,3433.5681,10.7794,1,351.6852414,50.6849183
94.2033,-133.8428,-8.326,-8.87,0.226,63.2421,12.6085,1,351.6639599,50.729484
1672.91,-29.4398,-6.723,-7.317,0.482,1671.0651,12.6179,1,351.6738547,50.7085453
1864.6473,-17.4576,-7.718,-8.318,0.213,1862.8308,12.4852,1,351.6750701,50.7060056
2729.9321,36.4051,-6.628,-7.248,0.477,2720.5706,12.6966,1,351.6805577,50.694545
3777.6102,99.2339,-6.759,-7.4,0.355,3744.4053,12.6551,1,351.6872472,50.6806797
652.088,-94.3849,-6.924,-7.488,0.395,637.8522,14.1311,1,351.6674051,50.7220724
1701.0519,-26.2762,-6.059,-6.654,0.647,1699.2496,13.9673,1,351.6740043,50.7081658
1843.0066,-17.4468,-8.871,-9.47,0.65,1841.2188,13.8289,1,351.674905,50.7062857
3520.6178,85.146,-5.871,-6.507,0.699,3494.6333,13.7359,1,351.6855796,50.6840745
