X,Y,m,M,q,x,y,k,r,d
1912.4676,-21.3278,-6.763,-7.364,0.363,1910.5302,5.7641,1,351.6755139,50.7054774
2645.8962,24.8295,-6.453,-7.071,0.577,2637.7275,6.441,1,351.680155,50.6957608
2807.4335,34.4928,-6.307,-6.93,0.607,2796.7783,6.2471,1,351.6811872,50.6936231
656.0136,-100.9906,-6.85,-7.414,0.493,641.8781,7.3672,1,351.6675706,50.7221256
1248.2876,-62.5931,-6.608,-7.191,0.465,1243.8937,6.827,1,351.6712983,50.7142739
3277.1763,63.8524,-6.611,-7.243,0.669,3257.1462,7.1792,1,351.6841627,50.6874007
3277.749,64.115,-6.68,-7.312,0.558,3257.7078,7.4003,1,351.6841616,50.687392
3488.7977,76.6119,-6.875,-7.511,0.495,3463.571,7.3078,1,351.6855124,50.6845997
3702.4164,88.8778,-7.203,-7.843,0.352,3671.3413,6.9318,1,351.6868872,50.6817752
4089.9867,111.6214,-8.611,-9.258,0.122,4046.9514,6.9313,1,351.6893712,50.6766483
757.6094,-94.0058,-6.553,-7.121,0.521,745.7144,7.5724,1,351.668202,50.7207768
2967.4153,45.6817,-5.532,-6.158,0.56,2953.9062,7.6757,1,351.6821764,50.6914982
3462.9612,76.9859,-14.901,-15.536,0.522,3438.4236,9.1573,1,351.6853081,50.6849324
3610.7069,84.7257,-9.992,-10.631,0.557,3582.2388,8.1606,1,351.6862742,50.6829824
3722.0785,90.9794,-8.959,-9.599,0.578,3690.4473,7.8416,1,351.6869939,50.6815106
1278.1687,-57.4505,-7.813,-8.396,-12.891,1274.0664,9.9758,1,351.6714209,50.7138623
1713.2933,-30.4929,-7.825,-8.421,0.606,1711.4926,9.087,1,351.6741843,50.7080998
3336.806,69.0736,-6.512,-7.146,0.415,3315.3889,8.7806,1,351.6845098,50.6866036
3953.2909,105.6432,-7.743,-8.388,0.537,3914.6968,8.8739,1,351.6884534,50.6784467
2520.6881,20.1865,-6.73,-7.346,0.446,2514.1904,9.3928,1,351.6792967,50.697404
2604.3893,25.4926,-7.564,-8.181,0.603,2596.8157,9.5568,1,351.6798255,50.6962949
3911.6688,104.3744,-6.329,-6.973,0.484,3874.3828,10.0043,1,351.6881627,50.6789917
243.565,-125.5975,-6.488,-7.038,0.698,217.8286,10.6096,1,351.6649303,50.727583
443.874,-111.3845,-7.118,-7.675,0.343,424.269,11.1893,1,351.6661664,50.7249217
1623.2592,-33.7948,-7.316,-7.909,0.293,1621.2983,11.446,1,351.673566,50.7092812
2808.598,39.0765,-8.668,-9.29,0.156,2797.9563,10.6297,1,351.6811024,50.6935859
3230.8191,64.8894,-7.566,-8.197,0.208,3211.8865,10.8783,1,351.6837887,50.6879958
3444.2368,78.1757,-6.692,-7.327,0.688,3420.198,11.3881,1,351.6851413,50.685169
3475.4446,79.9558,-7.89,-8.526,0.638,3450.6082,11.3127,1,351.6853424,50.6847564
