X,Y,m,M,q,x,y,k,r,d
337.6637,-124.2126,-8.511,-9.064,0.634,314.9351,5.6376,1,351.6656196,50.7263577
1248.4549,-62.8486,-6.684,-7.267,0.481,1244.0625,6.5659,1,351.6713052,50.7142723
1912.3934,-21.3592,-6.795,-7.396,0.506,1910.4561,5.738,1,351.6755143,50.7054779
655.6987,-100.8393,-6.672,-7.236,0.433,641.5555,7.5369,1,351.6675655,50.7221283
3277.9659,63.9966,-6.64,-7.272,0.606,3257.9187,7.2731,1,351.6841661,50.6873892
3488.8193,76.6258,-6.8,-7.436,0.602,3463.5923,7.32,1,351.6855127,50.6845987
3702.3557,88.896,-7.453,-8.094,0.269,3671.2825,6.9528,1,351.6868868,50.6817753
4090.0214,111.7075,-8.546,-9.193,0.158,4046.9861,7.0125,1,351.6893701,50.6766469
757.5168,-93.9558,-6.694,-7.261,0.473,745.6197,7.6277,1,351.6682006,50.7207772
3462.9333,76.9842,-14.893,-15.529,0.513,3438.3965,9.1572,1,351.6853084,50.6849321
3936.7066,103.4469,-7.706,-8.351,0.628,3898.6184,7.691,1,351.6883725,50.6786714
698.6926,-96.7356,-8.683,-9.249,0.485,685.5261,8.7494,1,351.6678092,50.721552
3336.8826,69.1421,-6.53,-7.163,0.605,3315.4644,8.8425,1,351.6845094,50.6866017
243.2666,-125.8481,-6.71,-7.26,0.445,217.5209,10.3822,1,351.6649335,50.7275875
558.8854,-105.0406,-6.876,-7.436,0.429,542.3738,9.7929,1,351.6669136,50.7234017
2520.9263,20.3614,-6.75,-7.365,0.283,2514.4268,9.5486,1,351.6792953,50.6973994
3297.0296,67.9322,-10.761,-11.393,0.655,3276.5654,9.9796,1,351.6842308,50.6871234
3493.5496,79.7512,-8.609,-9.246,0.528,3468.229,10.0724,1,351.6854848,50.6845224
3911.628,104.3473,-6.582,-7.226,0.504,3874.343,9.9805,1,351.6881633,50.6789917
443.7555,-111.4268,-7.151,-7.707,0.377,424.1472,11.1554,1,351.6661667,50.7249228
1623.1159,-33.856,-7.341,-7.934,0.246,1621.1544,11.395,1,351.6735666,50.7092827
2808.5446,39.0942,-8.741,-9.363,0.141,2797.9038,10.6501,1,351.6811021,50.6935859
3230.8714,64.845,-7.518,-8.15,0.229,3211.9373,10.8323,1,351.6837904,50.6879947
3476.3822,79.3716,-7.571,-8.207,0.619,3451.5161,10.6933,1,351.6853619,50.6847465
3573.2073,85.9154,-9.992,-10.63,0.451,3545.7947,11.4603,1,351.685965,50.6834615
2507.8796,22.0074,-7.109,-7.724,0.278,2501.5537,11.9302,1,351.6791624,50.6975604
4075.2801,115.8419,-7.057,-7.704,0.337,4032.7908,11.8338,1,351.6891735,50.6768178
2752.5387,38.4772,-6.679,-7.3,0.46,2742.8337,13.3683,1,351.6806883,50.6943139
2895.078,46.3329,-6.708,-7.332,0.454,2882.9453,12.5704,1,351.6816128,50.6924308
98.9945,-132.0029,-8.366,-8.91,0.137,68.2058,14.1014,1,351.6639597,50.7294846
838.6807,-82.1923,-7.779,-8.349,0.234,828.3982,13.8988,1,351.6685786,50.7196698
1869.4561,-15.4486,-7.548,-8.147,0.257,1867.637,14.1511,1,351.6750665,50.7060052
2007.989,-7.0542,-9.506,-10.11,0.658,2005.7743,13.8388,1,351.67595,50.7041715
2009.6263,-6.991,-9.284,-9.888,0.626,2007.4054,13.8003,1,351.6759611,50.70415
2188.6763,4.4858,-8.09,-8.697,0.667,2185.4526,14.0847,1,351.67709,50.7017769
2734.7979,38.3511,-6.991,-7.612,0.428,2725.3735,14.2986,1,351.6805559,50.6945441
3462.7723,80.7587,-14.857,-15.493,0.504,3438.2771,12.8199,1,351.68523,50.684916
3782.7755,101.1084,-6.786,-7.427,0.516,3749.4365,14.1726,1,351.6872492,50.6806754
656.9338,-92.7759,-6.578,-7.142,0.551,642.8113,15.3963,1,351.66741,50.7220734
812.0443,-83.494,-10.665,-11.234,0.569,801.2441,14.3559,1,351.6684022,50.7200209
