X,Y,m,M,q,x,y,k,r,d
1500.505,-47.2886,-6.694,-7.284,0.489,1498.0487,5.9127,1,351.6729842,50.7109181
1657.4726,-37.5249,-7.46,-8.054,0.247,1655.5808,5.6697,1,351.6739802,50.7088391
1855.3407,-24.7136,-7.812,-8.411,0.222,1853.5122,5.9714,1,351.6752253,50.7062161
1972.5476,-17.3483,-7.007,-7.609,0.389,1970.4304,5.9631,1,351.6759674,50.7046633
2857.1888,37.7023,-9.444,-10.067,0.104,2845.6782,6.4254,1,351.6815777,50.6929464
3670.824,86.3372,-6.704,-7.344,0.357,3640.6506,6.2796,1,351.6867761,50.6821793
1944.2529,-18.2965,-6.467,-7.069,0.45,1942.2367,6.7722,1,351.6757713,50.7050342
2266.4351,1.7143,-9.343,-9.952,0.596,2262.573,6.6825,1,351.6778157,50.7007671
2474.9116,15.2461,-8.54,-9.155,0.648,2468.9575,7.3247,1,351.6791265,50.6980032
3937.3234,102.9258,-6.548,-7.193,0.495,3899.2097,7.1528,1,351.6884648,50.6786494
1719.6141,-31.306,-8.424,-9.02,0.116,1717.8164,7.9012,1,351.6743264,50.7080048
2276.4722,3.6009,-5.957,-6.567,0.585,2272.5332,7.915,1,351.6778536,50.7006281
2905.3165,42.0865,-6.772,-7.396,0.359,2892.9617,7.8445,1,351.6818545,50.6923022
3766.5319,94.117,-6.645,-7.287,0.388,3733.6033,8.3403,1,351.6873453,50.6809028
3881.4845,100.735,-5.9,-6.543,0.503,3845.1104,8.1988,1,351.6880847,50.6793828
1191.5394,-63.8226,-10.318,-10.899,0.56,1186.542,9.2252,1,351.6709685,50.7149972
1910.172,-18.4975,-6.967,-7.568,0.302,1908.2509,8.6685,1,351.6755159,50.7054763
653.615,-98.0684,-6.987,-7.551,0.347,639.4192,10.4028,1,351.6675699,50.7221254
1246.0953,-59.6848,-6.744,-7.326,0.397,1241.6826,9.8177,1,351.6712995,50.7142711
3275.5598,67.011,-6.597,-7.229,0.475,3255.5969,10.333,1,351.6841631,50.6873892
3486.2225,79.2081,-6.773,-7.409,0.603,3461.0898,9.9684,1,351.6855171,50.6846034
3700.0675,91.7944,-7.43,-8.07,0.182,3669.093,9.8858,1,351.6868871,50.6817744
4087.5334,114.5564,-8.534,-9.181,0.142,4044.6167,9.9027,1,351.6893699,50.6766488
2289.4741,7.2481,-8.079,-8.69,0.6,2285.4358,10.6839,1,351.677878,50.7004422
2434.9076,16.2616,-5.875,-6.489,0.67,2429.4336,10.7096,1,351.6788011,50.6985161
3361.4455,72.3846,-6.511,-7.144,0.486,3339.4478,10.5616,1,351.684707,50.6862515
3474.0024,79.2929,-8.055,-8.691,0.66,3449.1963,10.7541,1,351.6854223,50.6847611
46.7234,-137.2726,-6.037,-6.579,0.56,13.981,12.4648,1,351.6637459,50.7301701
2518.3328,23.0986,-6.811,-7.426,0.417,2511.8828,12.3664,1,351.6792966,50.6974033
3334.3246,72.1118,-6.447,-7.08,0.525,3312.9951,11.8668,1,351.6845061,50.6866039
3460.939,80.3693,-14.988,-15.624,0.695,3436.488,12.5485,1,351.6853009,50.6849251
240.8388,-123.0162,-6.752,-7.302,0.367,215.0045,13.3447,1,351.6649341,50.7275887
556.5927,-102.2664,-6.724,-7.285,0.276,540.0175,12.6791,1,351.6669163,50.7234015
2212.8713,5.0337,-8.65,-9.258,0.673,2209.4685,13.1536,1,351.67734,50.7014445
3909.45,107.5372,-6.485,-7.129,0.46,3872.2708,13.1855,1,351.6881585,50.678988
441.1384,-108.4895,-7.036,-7.593,0.358,421.4495,14.2276,1,351.6661637,50.724926
653.8964,-93.9846,-8.97,-9.533,0.5,639.7029,14.4062,1,351.6674885,50.722102
915.2419,-76.8366,-6.422,-6.994,0.45,906.3365,14.1937,1,351.6691294,50.7186364
1620.702,-30.9007,-7.503,-8.096,0.31,1618.7421,14.4362,1,351.6735647,50.7092832
2806.1231,42.0557,-8.735,-9.357,0.102,2795.5452,13.6698,1,351.6811001,50.6935864
3228.4852,67.8378,-7.69,-8.321,0.222,3209.6326,13.8713,1,351.683788,50.6879946
1709.3661,-24.5985,-9.003,-9.599,0.655,1707.5782,15.0927,1,351.6741112,50.7081051
2505.6634,24.8717,-7.212,-7.827,0.335,2499.3872,14.8493,1,351.6791639,50.6975587
2879.1625,47.6654,-7.907,-8.531,0.691,2867.3301,14.8025,1,351.6815414,50.6926139
2893.0557,49.0886,-6.368,-6.992,0.366,2880.9807,15.3649,1,351.6816181,50.6924272
3508.722,85.7807,-10.943,-11.58,0.454,3483.0605,15.0344,1,351.685554,50.6842804
4072.8365,118.808,-7.149,-7.796,0.274,4030.4648,14.8351,1,351.6891712,50.6768185
2750.3184,41.2703,-6.839,-7.46,0.448,2740.6689,16.2137,1,351.6806913,50.6943126
3153.5033,65.3413,-6.05,-6.679,0.644,3136.311,15.8268,1,351.6832683,50.6889773
3460.2113,83.0463,-15.026,-15.661,0.61,3435.8062,15.1817,1,351.6852407,50.6849216
96.6043,-129.1441,-8.401,-8.945,0.158,65.7168,17.0929,1,351.66396,50.7294852
798.5666,-81.3952,-6.091,-6.66,0.549,787.5024,17.301,1,351.6683336,50.7201687
836.3933,-79.2247,-7.88,-8.45,0.21,826.0659,16.9666,1,351.6685774,50.7196686
1440.9885,-39.5413,-6.035,-6.623,0.619,1438.2085,17.2371,1,351.6723724,50.7116511
1675.2589,-24.8458,-6.95,-7.545,0.334,1673.4294,16.9647,1,351.6738565,50.7085478
1867.1858,-12.66,-7.61,-8.21,0.188,1865.381,17.0147,1,351.6750692,50.7060046
2128.4365,3.0935,-8.253,-8.86,0.499,2125.6211,16.3866,1,351.6767367,50.7025468
2732.5111,41.2437,-6.826,-7.447,0.442,2723.1426,17.245,1,351.6805563,50.6945432
3780.3271,104.2142,-6.77,-7.412,0.375,3747.0959,17.3144,1,351.687244,50.6806755
654.7331,-89.8933,-6.583,-7.147,0.516,640.555,18.3804,1,351.6674113,50.7220715
2913.164,52.8408,-5.93,-6.555,0.572,2900.7434,17.8205,1,351.6816945,50.6921488
2976.2048,56.4611,-10.647,-11.273,0.44,2962.6106,17.6179,1,351.6821003,50.6913153
2178.0548,8.8363,-7.286,-7.893,0.234,2174.9275,18.9698,1,351.6769972,50.7018768
1247.7114,-49.4056,-6.747,-7.33,0.285,1243.3282,19.7946,1,351.6711017,50.7142006
3005.2606,60.2442,-7.489,-8.115,0.248,2991.1201,19.5776,1,351.6822442,50.6909209
3534.9317,92.0232,-6.971,-7.608,0.527,3508.6331,19.5678,1,351.6856259,50.683911
3553.9828,93.5538,-7.048,-7.686,0.204,3527.1758,19.9539,1,351.6857396,50.683657
3970.4636,118.2463,-6.262,-6.907,0.629,3931.4651,20.0753,1,351.6884039,50.6781465
3894.9315,114.8997,-6.405,-7.048,0.483,3858.2976,21.1221,1,351.6878976,50.6791404
3997.9314,121.2064,-12.695,-13.34,0.063,3958.0715,21.3804,1,351.6885524,50.6777767
785.9256,-77.3752,-6.651,-7.218,0.469,774.6066,22.083,1,351.6681551,50.7203129
2470.756,30.5399,-6.83,-7.444,0.376,2464.9434,22.4553,1,351.6787823,50.6979832
3762.8579,108.2742,-8.16,-8.801,0.13,3730.1958,22.2354,1,351.6870282,50.6808821
