X,Y,m,M,q,x,y,k,r,d
431.4865,-117.1714,-7.759,-8.316,0.674,411.5364,6.3072,1,351.6662672,50.7250936
1500.6078,-47.3146,-6.736,-7.326,0.259,1498.1521,5.8808,1,351.672985,50.7109177
1657.5207,-37.5599,-7.371,-7.965,0.262,1655.6289,5.6325,1,351.6739808,50.7088395
1855.2764,-24.7165,-7.704,-8.303,0.256,1853.448,5.9725,1,351.6752245,50.7062177
1972.4741,-17.4156,-6.917,-7.52,0.374,1970.3569,5.9019,1,351.6759678,50.7046654
2857.3151,37.6669,-9.424,-10.047,0.094,2845.802,6.3837,1,351.681579,50.6929457
3670.8092,86.2582,-6.627,-7.266,0.28,3640.6353,6.204,1,351.6867771,50.6821807
4118.404,112.8104,-6.781,-7.429,0.352,4074.4102,6.4806,1,351.6896399,50.6762584
1944.1991,-18.2316,-6.544,-7.146,0.506,1942.1835,6.8388,1,351.6757691,50.7050354
3937.4029,102.8811,-6.566,-7.21,0.48,3899.2861,7.1052,1,351.6884658,50.6786494
1719.7128,-31.3998,-8.358,-8.954,0.176,1717.9149,7.8034,1,351.6743286,50.7080048
2881.3985,41.1303,-7.172,-7.796,0.395,2869.4761,8.3262,1,351.6816915,50.6926173
3133.5593,56.0185,-9.572,-10.201,0.57,3116.7185,7.954,1,351.6833066,50.6892813
3195.7876,60.3042,-7.889,-8.52,0.563,3177.6138,8.4756,1,351.6836926,50.688455
3261.9777,63.9228,-10.019,-10.651,0.622,3242.3105,8.1301,1,351.6841224,50.6875808
3766.7259,94.0238,-6.583,-7.225,0.58,3733.7905,8.2392,1,351.6873483,50.6809016
1910.1649,-18.4927,-6.944,-7.545,0.382,1908.2438,8.6737,1,351.6755153,50.7054772
2804.989,37.5315,-5.966,-6.588,0.672,2794.3975,9.3428,1,351.6811834,50.6936237
3222.0793,62.1731,-9.95,-10.581,0.632,3203.3223,8.7546,1,351.6838545,50.6881057
3223.5751,62.6892,-10.077,-10.708,0.617,3204.7886,9.1677,1,351.6838554,50.6880838
653.6751,-98.1157,-6.9,-7.464,0.605,639.4807,10.3523,1,351.6675709,50.7221256
1246.1281,-59.7425,-6.503,-7.086,0.504,1241.7157,9.759,1,351.6713005,50.7142717
2540.8097,22.2918,-8.602,-9.218,0.503,2534.0703,10.238,1,351.6794837,50.697117
3060.4549,53.7594,-8.466,-9.093,0.672,3045.147,10.0435,1,351.6827963,50.6902385
3275.6302,66.5717,-6.615,-7.247,0.395,3255.6616,9.9034,1,351.6841722,50.6873913
3460.7359,78.8756,-14.571,-15.207,0.657,3436.2754,11.1145,1,351.6853295,50.6849357
3486.5379,79.4466,-6.874,-7.51,0.393,3461.3994,10.1811,1,351.6855141,50.6845989
3537.415,82.3769,-9.447,-10.084,0.562,3510.9509,10.091,1,351.6858414,50.6839262
3700.1516,91.6544,-7.36,-8.001,0.317,3669.1731,9.7456,1,351.6868901,50.6817748
4087.6393,114.5029,-8.464,-9.111,0.115,4044.7185,9.8451,1,351.6893713,50.6766485
772.1446,-89.9767,-8.957,-9.524,0.62,760.5518,10.5857,1,351.6683072,50.7205529
840.0256,-84.757,-6.16,-6.73,0.529,829.7695,11.2888,1,351.6687178,50.7196491
2433.9437,16.1791,-6.094,-6.707,0.488,2428.4802,10.6871,1,351.678795,50.6985298
3329.6685,70.6844,-8.662,-9.295,0.532,3308.4417,10.754,1,351.6844994,50.6866719
3361.6086,72.3418,-6.427,-7.06,0.45,3339.6064,10.5107,1,351.6847086,50.6862504
2518.5399,22.9951,-6.895,-7.511,0.378,2512.0869,12.2533,1,351.6792998,50.6974019
3334.4401,72.1127,-6.599,-7.232,0.536,3313.1079,11.861,1,351.6845065,50.6866032
