X,Y,m,M,q,x,y,k,r,d
1714.6204,-33.2812,-8.408,-9.004,0.182,1712.8127,6.2792,1,351.6743271,50.7080046
2271.3224,1.6911,-6.237,-6.847,0.599,2267.418,6.3652,1,351.6778517,50.7006297
2900.1116,40.0228,-6.698,-7.322,0.426,2887.8381,6.1482,1,351.6818554,50.6923053
3761.4481,91.9759,-6.379,-7.021,0.41,3728.6509,6.5605,1,351.6873487,50.6809046
1905.0786,-20.3089,-7.105,-7.706,0.275,1903.1622,7.2129,1,351.6755125,50.7054767
3776.5128,93.0696,-9.516,-10.157,0.538,3743.2727,6.7594,1,351.687441,50.6807044
3876.6461,98.8317,-5.793,-6.436,0.657,3840.4019,6.6342,1,351.6880851,50.6793803
1241.2028,-62.1801,-6.43,-7.012,0.576,1236.7374,7.6812,1,351.6713116,50.7142721
1320.1493,-56.325,-8.9,-9.484,0.457,1316.4343,8.4212,1,351.6717934,50.713222
2638.5322,25.8204,-6.29,-6.908,0.589,2630.4797,7.8424,1,351.6801544,50.6957599
3481.4018,77.1929,-6.495,-7.131,0.633,3456.3765,8.2957,1,351.6855199,50.6846012
3695.1538,89.8716,-7.328,-7.968,0.239,3664.3025,8.3072,1,351.6868873,50.681773
4082.5927,112.6255,-8.556,-9.203,0.106,4039.8181,8.3169,1,351.6893701,50.6766478
648.3646,-100.0898,-6.693,-7.256,0.434,634.0489,8.7579,1,351.6675696,50.7221288
750.408,-92.7542,-6.522,-7.089,0.589,738.3598,9.2756,1,351.6681972,50.7207726
2428.9808,14.4051,-6.058,-6.672,0.509,2423.5613,9.2584,1,351.6787923,50.6985275
3269.5027,64.8629,-10.117,-10.749,0.537,3249.6694,8.6038,1,351.6841593,50.6874037
2155.3215,-1.6036,-7.951,-8.558,0.678,2152.3064,10.1722,1,351.6770358,50.7021472
3329.4462,69.9826,-6.294,-6.927,0.655,3308.2183,10.0872,1,351.6845109,50.686603
3455.7593,78.6576,-14.997,-15.632,0.591,3431.4277,11.1903,1,351.6852948,50.6849261
551.2956,-104.1549,-6.246,-6.807,0.65,534.5861,11.1691,1,351.666913,50.7234049
2513.5302,21.2311,-6.711,-7.327,0.409,2507.1289,10.837,1,351.6792965,50.6974001
3904.2197,105.3361,-6.502,-7.146,0.468,3867.1797,11.3554,1,351.688162,50.678992
235.8269,-124.7998,-6.763,-7.313,0.361,209.8299,11.9215,1,351.6649307,50.7275879
2801.1947,40.0649,-8.628,-9.25,0.127,2790.6855,12.0278,1,351.6811016,50.6935855
3223.3924,65.9132,-7.471,-8.101,0.158,3204.6389,12.3027,1,351.6837869,50.6879955
3434.1577,78.4405,-6.894,-7.529,0.689,3410.3801,12.2257,1,351.6851349,50.6852068
3473.2978,80.0693,-7.08,-7.716,0.696,3448.5178,11.5462,1,351.6853995,50.6846922
1615.675,-32.8239,-7.515,-8.108,0.315,1613.6969,12.8681,1,351.6735641,50.7092832
2500.6118,23.0258,-7.172,-7.788,0.438,2494.3867,13.3559,1,351.6791615,50.6975587
2887.799,47.1172,-6.657,-7.281,0.451,2875.8059,13.7611,1,351.6816167,50.6924304
3148.5554,63.3281,-5.999,-6.628,0.647,3131.4529,14.1642,1,351.6832702,50.6889768
831.2182,-81.1034,-7.872,-8.442,0.248,820.7911,15.4562,1,351.6685748,50.7196703
1862.2716,-14.5853,-7.646,-8.246,0.249,1860.4691,15.437,1,351.6750695,50.7060032
2745.2064,39.2119,-6.381,-7.002,0.618,2735.6238,14.5172,1,351.6806928,50.6943144
