X,Y,m,M,q,x,y,k,r,d
1714.4846,-33.2298,-8.64,-9.236,0.43,1712.677,6.3378,1,351.6743255,50.7080056
2271.4232,1.7152,-5.987,-6.597,0.593,2267.5181,6.3825,1,351.6778525,50.7006277
2900.0807,40.0859,-6.623,-7.247,0.439,2887.8083,6.2113,1,351.6818544,50.6923048
1713.1435,-32.7065,-8.64,-9.236,0.647,1711.3359,6.9324,1,351.6743046,50.7080204
1904.9029,-20.3399,-7.028,-7.628,0.248,1902.9869,7.1935,1,351.6755123,50.7054785
2799.359,35.1945,-6.062,-6.684,0.62,2788.8459,7.4061,1,351.6811876,50.6936322
2852.3282,36.8934,-9.448,-10.071,0.696,2840.9028,5.9268,1,351.6815561,50.6929383
3761.6411,92.068,-6.375,-7.016,0.469,3728.8381,6.6385,1,351.6873488,50.6809011
3876.7685,98.7035,-6.224,-6.867,0.482,3840.519,6.5034,1,351.6880892,50.6793788
1241.0504,-61.8577,-6.581,-7.164,0.477,1236.5839,8.007,1,351.6713044,50.714272
2638.407,26.0368,-6.413,-7.032,0.503,2630.3577,8.0602,1,351.6801495,50.6957599
3481.399,77.0198,-6.914,-7.55,0.455,3456.3721,8.1283,1,351.6855239,50.6846015
3694.9384,89.8359,-7.315,-7.955,0.288,3664.093,8.285,1,351.6868869,50.6817754
4082.5627,112.5753,-8.596,-9.243,0.101,4039.7886,8.2701,1,351.6893714,50.6766478
648.4458,-100.1445,-6.605,-7.168,0.632,634.132,8.6987,1,351.6675718,50.7221274
750.3717,-93.0517,-6.44,-7.007,0.625,738.3229,8.9853,1,351.6682035,50.7207739
2428.7304,14.2474,-6.063,-6.677,0.68,2423.313,9.12,1,351.6787941,50.6985309
3464.9758,76.5015,-8.803,-9.439,0.405,3440.3816,8.5723,1,351.6854095,50.6848166
3329.2519,70.0529,-6.639,-7.272,0.525,3308.0295,10.1665,1,351.6845085,50.6866046
3455.705,78.624,-14.974,-15.609,0.57,3431.3745,11.1609,1,351.6852956,50.6849264
