X,Y,m,M,q,x,y,k,r,d
328.9586,-124.2136,-8.542,-9.094,0.147,305.9602,6.221,1,351.6648984,50.7255101
2767.3887,31.6816,-7.205,-7.827,0.318,2757.394,5.8866,1,351.6802851,50.6931941
1146.6666,-69.2036,-6.836,-7.416,0.355,1141.134,6.8046,1,351.6700047,50.7146602
1704.0298,-32.9243,-6.287,-6.883,0.554,1702.2118,7.2832,1,351.6735088,50.7072705
1947.5853,-17.5524,-6.624,-7.226,0.459,1945.5582,7.2941,1,351.6750495,50.7040437
2156.5471,-4.3275,-6.93,-7.537,0.451,2153.5117,7.4422,1,351.6763704,50.7012749
3515.482,78.3448,-8.425,-9.061,0.285,3489.5662,7.45,1,351.6850251,50.683285
3534.2074,79.3505,-6.862,-7.499,0.285,3507.7983,7.347,1,351.6851471,50.6830377
64.8943,-140.5304,-6.718,-7.261,0.402,32.8573,7.9962,1,351.6632193,50.7290068
2853.3176,39.1262,-7.007,-7.63,0.321,2841.8875,8.0363,1,351.680787,50.6920458
2981.2386,46.5691,-6.567,-7.193,0.551,2967.4663,7.7232,1,351.6816086,50.690354
3275.6107,65.7531,-7.42,-8.052,0.187,3255.635,9.1114,1,351.6834571,50.6864509
4131.883,115.849,-6.257,-6.905,0.38,4087.4658,8.6558,1,351.6889486,50.6751246
324.8065,-120.8866,-6.699,-7.252,0.427,301.6734,9.7849,1,351.6647987,50.7255478
1462.1831,-46.0107,-8.098,-8.686,0.127,1459.5225,9.5684,1,351.6719342,50.7104642
1793.2434,-24.3518,-6.898,-7.496,0.233,1791.4783,10.1521,1,351.674013,50.7060743
3232.7851,63.7372,-7.26,-7.891,0.182,3213.7976,9.6474,1,351.6831723,50.687015
4044.9154,111.8036,-5.983,-6.629,0.602,4003.3896,9.6467,1,351.6883696,50.67627
170.6416,-130.3426,-6.741,-7.288,0.346,142.4339,10.8627,1,351.663817,50.7275889
2935.4615,46.6373,-6.465,-7.09,0.444,2922.5693,10.4846,1,351.6812588,50.6909463
3131.1342,59.301,-6.618,-7.247,0.417,3114.3762,11.2782,1,351.6824894,50.6883522
3804.7335,99.1048,-6.643,-7.285,0.284,3770.709,10.9858,1,351.6868018,50.6794404
4033.9459,112.3333,-8.073,-8.719,0.181,3992.7952,10.777,1,351.6882754,50.6764094
1036.486,-71.3925,-6.552,-7.128,0.56,1029.4912,11.7128,1,351.66921,50.716097
1037.3898,-71.4809,-6.492,-7.068,0.574,1030.4083,11.5679,1,351.6692187,50.7160857
3041.4733,54.6884,-6.635,-7.262,0.406,3026.5625,12.0588,1,351.6819012,50.6895351
441.8641,-109.2627,-6.082,-6.639,0.341,422.1974,13.4164,1,351.6654532,50.7239765
996.2018,-72.2675,-6.827,-7.402,0.408,988.6069,13.4489,1,351.668921,50.7166226
1662.7326,-29.2541,-7.249,-7.843,0.367,1660.8722,13.4311,1,351.6731192,50.7077874
1927.5189,-13.1965,-6.621,-7.222,0.388,1925.5731,12.7783,1,351.6748076,50.7042824
2964.922,51.4239,-6.689,-7.315,0.441,2951.5063,13.3945,1,351.6813852,50.6905418
3605.1372,89.4393,-10.111,-10.749,0.644,3576.8762,13.0389,1,351.6854807,50.6820709
4105.1083,118.4249,-7.297,-7.944,0.253,4061.6406,12.6479,1,351.6886923,50.6754588
2055.6901,-3.7683,-8.547,-9.151,0.671,2053.2607,14.128,1,351.675591,50.7025778
2378.5817,15.8561,-7.292,-7.904,0.323,2373.7185,13.6998,1,351.6776485,50.6983034
2782.6467,41.1583,-6.571,-7.192,0.496,2772.4629,14.1882,1,351.6802076,50.6929509
2874.0418,46.4601,-6.319,-6.943,0.619,2862.293,13.9343,1,351.6807949,50.6917422
3016.1508,54.5877,-5.9,-6.526,0.596,3001.749,13.4491,1,351.6817105,50.6898634
3470.0665,82.301,-6.705,-7.341,0.299,3445.3958,13.8923,1,351.6845987,50.6838538
4027.1649,115.5445,-8.142,-8.788,0.658,3986.2795,14.2606,1,351.6881582,50.6764817
784.747,-84.5206,-7.146,-7.714,0.334,773.4088,15.1296,1,351.6675603,50.7194189
864.9012,-79.243,-8.719,-9.29,0.692,855.1031,15.0939,1,351.6680632,50.7183559
1792.4642,-19.474,-6.683,-7.28,0.412,1790.7152,14.9663,1,351.6739074,50.7060609
2463.7233,22.8557,-7.81,-8.424,0.142,2457.9475,15.3991,1,351.6781537,50.6971675
1110.2422,-62.5386,-10.083,-10.661,0.077,1104.2623,15.6723,1,351.669591,50.7150995
1589.4997,-30.8321,-8.707,-9.299,0.533,1587.4557,16.4498,1,351.6725937,50.7087429
2087.0559,-0.1214,-6.414,-7.02,0.37,2084.4731,15.7718,1,351.6757553,50.7021542
3050.7997,59.2431,-9.847,-10.475,0.482,3035.7354,15.9291,1,351.6818791,50.6893924
3076.1608,60.8923,-6.803,-7.431,0.543,3060.5811,16.04,1,351.6820384,50.6890562
3286.7565,73.1995,-8.349,-8.981,0.518,3266.5854,15.6783,1,351.6833897,50.6862707
3690.6588,97.4699,-6.51,-7.15,0.376,3660.0259,15.9111,1,351.6859673,50.6809251
601.1011,-94.2539,-7.011,-7.573,0.332,585.6395,17.6264,1,351.6663599,50.7218429
889.9366,-74.3317,-6.534,-7.106,0.528,880.5854,18.2971,1,351.6681535,50.7180081
2049.4629,-0.4505,-6.147,-6.751,0.686,2047.0778,17.7453,1,351.6754757,50.7026424
3181.0746,69.2284,-8.696,-9.326,0.078,3163.3098,17.9842,1,351.6826666,50.6876579
3334.0969,78.456,-7.053,-7.686,0.252,3312.8328,18.0248,1,351.6836426,50.6856325
3624.8923,95.9645,-9.002,-9.64,0.064,3596.1357,18.2186,1,351.6854977,50.6817837
3641.8242,97.0491,-6.877,-7.516,0.343,3612.5977,18.2978,1,351.6856043,50.6815593
456.0171,-102.3105,-7.089,-7.646,0.287,436.7394,19.3301,1,351.6654189,50.7237598
1325.7808,-45.2667,-5.87,-6.454,0.568,1322.1302,18.9032,1,351.6708799,50.7122262
2593.4997,34.1953,-7.176,-7.794,0.282,2586.1296,18.6682,1,351.67891,50.6954329
129.5687,-123.4685,-6.827,-7.372,0.36,99.8754,20.4563,1,351.6633634,50.7280874
1763.0328,-16.2521,-7.347,-7.944,0.276,1761.2953,19.932,1,351.6736174,50.7064263
3433.8403,86.8668,-6.537,-7.172,0.325,3410.1538,20.4016,1,351.6842298,50.6843007
732.9432,-82.0997,-6.738,-7.304,0.557,720.5184,20.9072,1,351.6671161,50.7200777
1010.4315,-63.3383,-7.638,-8.213,0.207,1003.0508,21.302,1,351.6688469,50.7163954
554.4699,-92.6384,-9.662,-10.222,0.656,537.8251,22.3098,1,351.6659715,50.7224387
841.0241,-73.9759,-7.09,-7.66,0.317,830.7827,21.827,1,351.6677735,50.7186395
1776.0909,-13.3827,-5.931,-6.528,0.66,1774.3639,21.9297,1,351.6736582,50.7062435
2185.168,12.7363,-6.825,-7.432,0.285,2182.009,22.3404,1,351.6762396,50.7008222
2588.7969,36.9272,-7.694,-8.311,0.166,2581.5081,21.6056,1,351.6788183,50.6954806
2645.9129,41.024,-6.974,-7.593,0.35,2637.8511,22.1826,1,351.6791694,50.6947215
2798.0339,49.8387,-7.651,-8.273,0.256,2787.6487,21.7085,1,351.6801473,50.6927098
3052.6019,65.7644,-7.678,-8.305,0.175,3037.553,22.149,1,351.6817596,50.6893377
3329.5972,81.3306,-9.61,-10.243,0.579,3308.4719,21.0702,1,351.6835496,50.6856769
3443.4391,89.3345,-6.585,-7.22,0.428,3419.531,22.2366,1,351.6842524,50.6841646
3488.3496,91.6895,-7.238,-7.874,0.236,3463.2866,21.9261,1,351.684546,50.6835719
216.327,-114.4452,-8.283,-8.831,0.657,189.6409,23.4768,1,351.6638402,50.7269208
794.1761,-76.3711,-7.579,-8.147,0.191,783.0225,22.5311,1,351.6674655,50.7192575
1616.6174,-22.0184,-6.939,-7.531,0.353,1614.6694,23.3805,1,351.6726201,50.7083494
1871.9889,-6.8228,-5.971,-6.571,0.647,1870.1969,22.4201,1,351.6742545,50.7049705
2778.4423,49.4543,-8.734,-9.355,0.097,2768.3884,22.4965,1,351.680006,50.6929653
3387.7086,87.0748,-8.24,-8.874,0.15,3365.2004,23.2687,1,351.6838745,50.6848969
568.4707,-90.3758,-7.749,-8.31,0.25,552.1846,23.6104,1,351.6660319,50.7222466
1565.5528,-24.2432,-8.824,-9.415,0.562,1563.4362,24.3953,1,351.6722766,50.7090211
1961.8646,0.8408,-6.941,-7.543,0.447,1959.8569,24.3732,1,351.6747823,50.7037701
3268.4332,80.1113,-7.564,-8.196,0.245,3248.7639,23.4401,1,351.6831091,50.6864745
3278.1254,81.0711,-6.699,-7.331,0.497,3258.231,23.8064,1,351.6831632,50.6863444
1475.6721,-29.8719,-6.33,-6.919,0.614,1473.1228,24.5238,1,351.671707,50.7102117
1768.4697,-10.5313,-7.874,-8.471,0.464,1766.7509,25.1874,1,351.6735419,50.7063284
4089.337,130.7633,-7.576,-8.223,0.673,4046.5583,25.448,1,351.6883203,50.6756035
4079.9811,130.9359,-9.268,-9.915,0.081,4037.5186,26.1421,1,351.6882456,50.6757238
3124.0959,74.5925,-7.111,-7.74,0.32,3107.6208,26.5174,1,351.6821233,50.6883696
851.0111,-66.6453,-8.445,-9.015,0.559,840.9546,28.3864,1,351.6676998,50.7184749
402.3336,-96.5506,-9.628,-10.183,0.602,381.4949,28.6049,1,351.664892,50.7244268
1831.0301,-2.7346,-6.454,-7.053,0.494,1829.3047,28.941,1,351.673859,50.7054809
1975.479,6.9568,-7.963,-8.566,0.494,1973.4471,29.5078,1,351.6747609,50.7035644
2139.0538,16.9083,-6.719,-7.325,0.469,2136.2346,29.2128,1,351.6758032,50.701399
3543.941,102.0015,-6.247,-6.884,0.639,3517.4976,28.7058,1,351.6847584,50.6828025
507.9152,-88.2039,-7.03,-7.589,0.411,490.0394,29.7802,1,351.665526,50.7230199
3991.2193,129.4896,-8.296,-8.942,0.355,3951.6755,29.7611,1,351.6875999,50.6768798
615.0146,-79.6842,-6.928,-7.49,0.358,599.8701,31.0616,1,351.666168,50.7215925
1536.2244,-19.177,-6.336,-6.926,0.49,1534.0042,31.1925,1,351.6719496,50.7093763
2849.8841,62.3025,-9.904,-10.527,0.461,2838.6921,30.745,1,351.6802873,50.6919785
2958.2094,69.2358,-6.563,-7.189,0.374,2945.0623,31.0769,1,351.6809702,50.6905428
4075.2876,135.9144,-6.66,-7.307,0.298,4033.043,31.2143,1,351.6881082,50.6757606
525.1412,-85.2053,-6.845,-7.404,0.565,507.7222,31.5892,1,351.665596,50.7227825
1193.5943,-40.7956,-9.434,-10.015,0.548,1188.6439,31.6836,1,351.6697815,50.7139157
2265.5984,27.7292,-6.827,-7.436,0.352,2261.8757,32.081,1,351.6765456,50.6997087
3646.6938,111.3643,-8.566,-9.205,0.109,3617.48,31.8654,1,351.6853489,50.6814272
4058.4837,135.2052,-6.973,-7.619,0.363,4016.7898,31.4782,1,351.6879948,50.6759815
493.268,-85.6972,-7.071,-7.629,0.545,474.9883,33.2297,1,351.6653631,50.7231974
1297.84,-33.1322,-9.358,-9.941,0.601,1293.9564,32.5701,1,351.670419,50.7125294
1928.2499,7.8147,-6.436,-7.037,0.517,1926.3809,33.2495,1,351.6743837,50.7041716
2903.6683,68.2759,-7.312,-7.936,0.226,2891.5432,33.3662,1,351.6805747,50.6912535
628.5005,-76.0408,-9.997,-10.56,0.689,613.6799,33.7589,1,351.6661963,50.7214004
920.1428,-56.0502,-6.809,-7.381,0.418,911.3167,34.3089,1,351.6680099,50.7175289
1094.2612,-44.689,-8.051,-8.628,0.579,1088.0793,34.2192,1,351.6691043,50.7152203
2164.7431,23.6039,-7.015,-7.622,0.317,2161.7773,34.1783,1,351.675862,50.7010341
2728.4755,58.0467,-7.941,-8.561,0.145,2719.2861,33.8138,1,351.6794501,50.6935707
2938.0174,71.2672,-6.71,-7.335,0.378,2925.2681,34.2406,1,351.680775,50.6907944
3088.7526,79.8079,-7.333,-7.961,0.261,3073.0691,33.6479,1,351.6817478,50.688802
3108.6351,81.1211,-9.616,-10.244,0.506,3092.5476,33.7551,1,351.6818723,50.6885383
