X,Y,m,M,q,x,y,k,r,d
2652.003,24.5227,-5.843,-6.462,0.673,2643.7439,5.7795,1,351.6795535,50.694795
3583.7837,80.7523,-7.274,-7.912,0.426,3556.0266,5.8594,1,351.6854961,50.682462
2772.3964,33.379,-7.237,-7.859,0.324,2762.3301,7.2387,1,351.680289,50.6931939
3411.9045,72.0073,-6.438,-7.073,0.681,3388.6323,7.2818,1,351.6843669,50.6847291
3834.2936,96.3637,-7.376,-8.018,0.235,3799.3281,6.6553,1,351.6870832,50.6791438
333.8099,-122.4163,-8.526,-9.079,0.128,310.9586,7.6697,1,351.664899,50.7255114
1151.5804,-67.4077,-6.649,-7.228,0.369,1146.1093,8.2532,1,351.6700059,50.7146607
69.9877,-138.7917,-6.725,-7.269,0.467,38.1387,9.368,1,351.663223,50.7290053
1709.1212,-31.1301,-6.356,-6.951,0.479,1707.314,8.7222,1,351.6735113,50.7072687
1952.6671,-15.7986,-6.707,-7.309,0.402,1950.6318,8.6944,1,351.6750528,50.7040422
2161.551,-2.2482,-6.962,-7.569,0.575,2158.4895,9.1655,1,351.6763665,50.7012729
2986.338,48.5558,-6.619,-7.245,0.469,2972.4807,9.3507,1,351.6816073,50.6903512
3521.1327,79.8302,-7.108,-7.745,0.284,3495.0803,8.5624,1,351.6850382,50.6832774
3539.3944,80.9963,-7.021,-7.658,0.248,3512.8616,8.6415,1,351.6851534,50.6830354
2858.327,40.9979,-6.936,-7.559,0.284,2846.8206,9.5581,1,351.6807874,50.6920448
3325.5507,69.2361,-6.756,-7.389,0.361,3304.4116,9.5898,1,351.6837664,50.6858604
1467.2018,-44.21,-8.07,-8.659,0.171,1464.5748,11.0163,1,351.671936,50.7104633
3237.6656,65.5664,-7.154,-7.786,0.231,3218.5823,11.136,1,351.6831725,50.6870157
3280.505,67.4962,-7.491,-8.123,0.195,3260.4297,10.5159,1,351.6834591,50.6864519
175.5599,-128.4423,-6.832,-7.379,0.385,147.5187,12.4073,1,351.6638161,50.7275888
1205.2963,-60.3885,-9.012,-9.593,0.535,1200.4552,11.7185,1,351.6702716,50.7139316
1798.293,-22.6077,-6.857,-7.454,0.361,1796.531,11.5445,1,351.6740163,50.7060733
4038.9132,114.2196,-8.141,-8.787,0.118,3997.6216,12.3181,1,351.6882751,50.6764088
991.9355,-73.0452,-10.933,-11.507,0.607,984.2773,12.9603,1,351.6689048,50.7167544
1831.2574,-18.7113,-9.099,-9.698,0.564,1829.4777,13.3177,1,351.6741877,50.7056278
3135.8117,61.1785,-6.6,-7.229,0.395,3118.9666,12.8251,1,351.682487,50.6883554
3691.6305,94.2235,-8.493,-9.133,0.549,3660.9297,12.7164,1,351.6860415,50.6810009
3809.7994,100.9912,-6.966,-7.609,0.317,3775.6414,12.5206,1,351.6868023,50.6794386
663.3194,-93.4411,-7.276,-7.84,0.508,649.3432,14.3204,1,351.6668178,50.7211064
1932.5269,-11.4659,-6.473,-7.074,0.516,1930.5739,14.1603,1,351.6748108,50.704282
3046.3843,56.6503,-6.628,-7.256,0.488,3031.3906,13.6734,1,351.6818989,50.6895349
3893.6147,106.9276,-9.377,-10.02,0.523,3856.9302,13.4941,1,351.6873187,50.6783249
3979.0626,112.066,-7.185,-7.83,0.239,3939.7065,13.6194,1,351.6878638,50.677194
4110.0506,120.1682,-7.264,-7.912,0.381,4066.4382,14.0526,1,351.6886947,50.6754592
1001.1453,-70.3695,-6.735,-7.31,0.398,993.6273,14.9944,1,351.6689203,50.7166223
1667.707,-27.3488,-7.346,-7.94,0.235,1665.8613,14.9855,1,351.6731186,50.7077866
2383.6344,17.7985,-7.256,-7.868,0.232,2378.729,15.2869,1,351.6776477,50.6983014
2406.9843,19.2687,-6.926,-7.539,0.349,2401.8394,15.3137,1,351.6777955,50.6979921
2878.9481,48.072,-6.536,-7.16,0.457,2867.1228,15.2099,1,351.6807998,50.6917437
2969.6675,53.2162,-6.798,-7.424,0.477,2956.1746,14.8541,1,351.6813852,50.6905445
3474.964,84.1716,-6.487,-7.123,0.631,3450.1821,15.4207,1,351.6845982,50.6838542
1797.4037,-17.6995,-6.966,-7.564,0.342,1795.6587,16.3953,1,351.6739092,50.7060612
789.6633,-82.495,-6.954,-7.522,0.467,778.4241,16.801,1,351.6675568,50.7194182
