X,Y,m,M,q,x,y,k,r,d
865.1909,-88.9313,-7.299,-7.869,0.246,855.4009,5.5492,1,351.6682641,50.7184704
2772.5179,33.4279,-7.212,-7.833,0.227,2762.4497,7.2791,1,351.6802891,50.6931908
3411.6987,72.1614,-6.498,-7.133,0.604,3388.4333,7.4428,1,351.6843624,50.6847299
3834.2171,96.3669,-7.385,-8.028,0.272,3799.2539,6.6627,1,351.6870827,50.6791436
4112.3202,113.3803,-8.357,-9.004,0.515,4068.5471,7.3728,1,351.6888508,50.6754614
333.8089,-122.4449,-8.54,-9.093,0.114,310.9576,7.6416,1,351.6648998,50.7255103
1151.6848,-67.3688,-6.844,-7.423,0.325,1146.215,8.2847,1,351.6700061,50.714658
3241.2392,62.7707,-9.809,-10.441,0.505,3222.0479,8.2192,1,351.6832571,50.6869818
1952.6899,-15.8556,-6.679,-7.281,0.442,1950.6544,8.6374,1,351.6750543,50.704041
2161.3954,-2.4665,-6.872,-7.479,0.307,2158.3347,8.9621,1,351.6763699,50.7012748
2986.2705,48.4305,-6.76,-7.386,0.399,2972.4133,9.233,1,351.6816095,50.6903515
3325.4529,68.9523,-6.455,-7.088,0.579,3304.3135,9.3206,1,351.6837716,50.6858618
3521.3278,79.8282,-7.158,-7.795,0.222,3495.2703,8.5493,1,351.68504,50.6832737
3539.1711,81.1372,-6.977,-7.614,0.399,3512.646,8.7906,1,351.685149,50.6830364
2449.2756,16.1218,-5.354,-5.968,0.695,2443.6292,9.7121,1,351.678182,50.6974586
2858.2922,41.0726,-6.909,-7.532,0.422,2846.7869,9.6326,1,351.6807858,50.6920436
329.6154,-119.1686,-6.725,-7.277,0.496,306.625,11.1581,1,351.6648009,50.7255488
1467.1261,-44.139,-8.076,-8.665,0.114,1464.4989,11.0905,1,351.6719342,50.7104628
1798.1664,-22.6036,-6.953,-7.551,0.324,1796.4045,11.5563,1,351.6740154,50.7060738
3237.6485,65.6079,-7.225,-7.856,0.653,3218.5659,11.1772,1,351.6831718,50.6870146
