X,Y,m,M,q,x,y,k,r,d
3024.7415,47.8394,-8.533,-9.16,0.422,3010.1135,6.398,1,351.6819907,50.6898391
3381.662,69.2727,-6.603,-7.237,0.453,3359.1333,6.3799,1,351.6842691,50.6851153
3506.2703,76.0427,-7.479,-8.116,0.228,3480.5754,5.752,1,351.685079,50.6834696
846.4306,-88.8324,-6.909,-7.479,0.321,836.2975,6.8645,1,351.6681954,50.7186955
1386.577,-53.8995,-6.754,-7.34,0.472,1383.3982,6.602,1,351.6715964,50.7115352
3392.3186,70.1543,-8.496,-9.13,0.106,3369.5303,6.6182,1,351.6843322,50.6849731
3821.8889,95.6315,-7.021,-7.663,0.239,3787.3,6.6531,1,351.6870802,50.6792894
862.695,-86.0473,-7.35,-7.921,0.236,852.8588,8.5467,1,351.6682624,50.7184716
1809.2065,-25.1369,-8.726,-9.324,0.076,1807.4283,8.3999,1,351.6742275,50.7059258
2234.8596,1.2931,-8.949,-9.558,0.071,2231.2573,8.1784,1,351.6769287,50.7002884
3634.4644,86.0102,-6.54,-7.179,0.301,3605.3308,8.0427,1,351.6858508,50.6817621
3722.203,90.9969,-6.783,-7.423,0.401,3690.5684,7.8514,1,351.6864165,50.6806022
792.4925,-89.8149,-8.198,-8.766,0.602,781.3143,9.4147,1,351.6678045,50.7193984
1264.9269,-59.1933,-8.115,-8.698,0.682,1260.701,9.1058,1,351.6707779,50.7131354
3408.2752,73.4939,-9.265,-9.9,0.693,3385.1155,8.9304,1,351.6843854,50.6847505
3531.7038,80.5112,-5.871,-6.508,0.634,3505.3735,8.614,1,351.6851812,50.6831188
3831.8201,99.1543,-7.274,-7.917,0.294,3796.9644,9.4926,1,351.6870838,50.6791439
835.6478,-86.0843,-9.858,-10.428,0.571,825.3086,10.2688,1,351.668057,50.7188218
2694.3661,31.7315,-6.386,-7.006,0.519,2685.53,10.2677,1,351.6798051,50.6941934
331.4602,-119.5969,-8.563,-9.116,0.105,308.5276,10.6112,1,351.6649,50.7255097
374.1946,-116.4099,-5.725,-6.279,0.66,352.5618,10.8897,1,351.6651605,50.7249412
1148.9912,-64.7799,-6.906,-7.486,0.365,1143.4908,10.9967,1,351.6700089,50.7146631
2677.8713,31.5893,-8.65,-9.269,0.653,2669.2822,11.1097,1,351.6796824,50.6944076
3518.6991,82.6656,-7.214,-7.85,0.24,3492.7407,11.4461,1,351.6850383,50.6832768
67.2482,-136.0766,-6.764,-7.307,0.434,35.2839,12.2421,1,351.6632231,50.7290092
1706.6608,-28.3297,-6.327,-6.922,0.506,1704.8593,11.6123,1,351.6735118,50.7072686
1949.9893,-12.9538,-6.612,-7.214,0.309,1947.9723,11.6356,1,351.6750507,50.7040447
2158.872,0.3258,-6.979,-7.586,0.265,2155.8438,11.8377,1,351.6763699,50.7012767
