X,Y,m,M,q,x,y,k,r,d
842.8666,-89.9046,-9.206,-9.776,0.674,832.6662,6.0417,1,351.66819,50.7187466
3381.9717,69.0417,-6.532,-7.166,0.332,3359.4331,6.1384,1,351.6842761,50.6851122
3506.3593,75.9683,-7.46,-8.097,0.235,3480.6611,5.6749,1,351.6850811,50.6834686
3821.9595,95.4407,-6.984,-7.626,0.474,3787.3665,6.4647,1,351.6870846,50.6792892
4132.786,112.6575,-7.92,-8.568,0.158,4088.2983,5.5249,1,351.6890975,50.6751824
1386.5657,-53.9963,-6.813,-7.4,0.406,1383.3866,6.5079,1,351.6715982,50.7115356
2383.3976,8.7548,-7.999,-8.612,0.597,2378.4443,6.4969,1,351.6779071,50.6983294
3392.278,70.1557,-8.518,-9.152,0.099,3369.4907,6.6218,1,351.6843318,50.6849735
1809.2175,-25.172,-8.732,-9.331,0.091,1807.4392,8.3649,1,351.6742282,50.7059256
2234.8502,1.2497,-8.907,-9.516,0.088,2231.2478,8.1367,1,351.6769295,50.7002885
3634.1033,85.8601,-6.471,-7.11,0.44,3604.9785,7.9182,1,351.685851,50.6817673
862.8647,-86.0454,-7.118,-7.688,0.323,853.0316,8.5376,1,351.6682635,50.7184692
2769.8816,36.2696,-7.053,-7.674,0.292,2759.8787,10.1956,1,351.6802871,50.6931938
331.4171,-119.629,-8.582,-9.134,0.12,308.4832,10.5824,1,351.6649002,50.7255102
1149.1828,-64.74,-6.809,-7.389,0.337,1143.6848,11.0235,1,351.6700094,50.7146602
3409.5111,75.1488,-6.545,-7.18,0.526,3386.3362,10.4612,1,351.6843609,50.6847263
3518.6485,82.5333,-7.277,-7.913,0.335,3492.6902,11.3209,1,351.6850405,50.6832779
67.3983,-136.0089,-6.79,-7.333,0.306,35.4394,12.2988,1,351.6632227,50.7290067
1296.2775,-53.7787,-9.446,-10.029,0.564,1292.3503,12.428,1,351.670906,50.7127033
1950.1269,-12.9151,-6.478,-7.08,0.358,1948.1097,11.6649,1,351.6750508,50.7040425
2158.9605,0.2793,-6.796,-7.403,0.299,2155.9314,11.787,1,351.6763714,50.7012756
2546.2637,24.7611,-8.968,-9.585,0.412,2539.4685,12.3138,1,351.67882,50.696144
2983.8011,51.3643,-6.728,-7.354,0.434,2970.0151,12.2249,1,351.681607,50.6903518
3052.8459,55.3348,-8.801,-9.429,0.607,3037.7056,12.0181,1,351.6820514,50.6894389
3130.2767,59.7392,-8.078,-8.707,0.421,3113.5437,11.7531,1,351.6825507,50.6884153
3322.8593,71.9144,-6.505,-7.138,0.393,3301.8101,12.3398,1,351.6837675,50.6858636
3485.968,81.172,-8.539,-9.176,0.621,3460.8621,11.8837,1,351.6848196,50.6837075
3536.8941,83.9434,-6.749,-7.386,0.412,3510.4602,11.6366,1,351.6851505,50.6830349
2541.2618,25.4603,-5.143,-5.759,-2.233,2534.5361,13.2927,1,351.6787676,50.6962054
3277.9862,70.3344,-7.587,-8.219,0.163,3257.9966,13.4118,1,351.6834583,50.6864521
327.0703,-116.3536,-6.663,-7.216,0.381,303.9962,14.1087,1,351.6648001,50.7255507
