X,Y,m,M,q,x,y,k,r,d
852.2151,-88.8283,-5.541,-6.112,0.697,842.1885,6.4928,1,351.6682395,50.7185477
857.9318,-87.8714,-7.308,-7.878,0.248,848.012,7.0625,1,351.6682635,50.7184691
1804.2754,-27.0368,-8.738,-9.336,0.116,1802.496,6.8479,1,351.674229,50.7059259
2229.8982,-0.5832,-9.027,-9.635,0.127,2226.3315,6.6499,1,351.6769295,50.7002888
2644.5048,25.5573,-6.195,-6.814,0.594,2636.364,7.2312,1,351.6795519,50.6947958
3826.9456,97.1873,-7.447,-8.09,0.24,3792.2197,7.8689,1,351.6870871,50.6791436
326.4045,-121.4969,-8.595,-9.147,0.098,303.3225,9.0749,1,351.6649005,50.7255115
2764.9715,34.4012,-7.131,-7.753,0.301,2755.0352,8.6715,1,351.6802882,50.6931937
1144.0521,-66.5162,-6.775,-7.355,0.347,1138.4899,9.6082,1,351.6700069,50.7146625
1945.3239,-14.7232,-6.819,-7.421,0.493,1943.3171,10.1946,1,351.6750515,50.7040407
2153.9471,-1.429,-6.882,-7.489,0.276,2150.9419,10.4259,1,351.6763684,50.7012761
3513.7862,80.7353,-7.135,-7.771,0.246,3487.9395,9.8607,1,351.6850405,50.6832768
3531.7344,81.9435,-6.842,-7.479,0.363,3505.4177,9.9981,1,351.6851524,50.6830387
3980.7526,108.8217,-8.944,-9.59,0.67,3941.3032,10.3905,1,351.6880195,50.6770964
4001.2542,109.1314,-5.858,-6.503,0.691,3961.1421,9.5309,1,351.6881692,50.6768295
62.5747,-138.0477,-6.871,-7.414,0.348,30.443,10.6115,1,351.6632279,50.7290063
2850.7683,42.0358,-7.108,-7.731,0.359,2839.4109,11.0118,1,351.6807853,50.6920462
2978.9653,49.3972,-6.538,-7.164,0.414,2965.2617,10.6009,1,351.6816106,50.6903512
3318.177,69.9784,-6.628,-7.26,0.402,3297.2241,10.7359,1,351.6837717,50.6858609
4129.387,118.3249,-6.074,-6.722,0.562,4085.0864,11.1858,1,351.6889561,50.6751264
1459.7504,-43.2398,-8.099,-8.688,0.14,1457.0803,12.4346,1,351.6719361,50.7104637
3273.0327,68.4105,-7.57,-8.202,0.159,3253.1426,11.8357,1,351.6834602,50.6864528
322.3023,-118.0548,-6.826,-7.379,0.37,299.0832,12.7494,1,351.6647988,50.7255479
1790.7342,-21.6811,-6.937,-7.534,0.401,1788.9783,12.9164,1,351.6740164,50.7060754
2933.0247,48.9953,-6.246,-6.871,0.504,2920.197,12.9167,1,351.6812692,50.6909479
3230.312,66.4857,-7.146,-7.777,0.257,3211.4053,12.4547,1,351.6831744,50.6870151
167.963,-127.6307,-6.655,-7.202,0.46,139.6521,13.7259,1,351.6638182,50.7275919
1033.4576,-69.3914,-6.111,-6.687,0.601,1026.4187,13.8727,1,351.6692231,50.7161079
3128.5826,62.0915,-6.763,-7.392,0.373,3111.9067,14.1329,1,351.68249,50.6883532
3802.0471,101.8368,-6.733,-7.375,0.338,3768.1343,13.7792,1,351.6868027,50.6794435
3976.0035,112.4775,-9.283,-9.928,0.691,3936.7517,14.1899,1,351.6879087,50.6771402
4031.4316,115.1227,-8.114,-8.76,0.187,3990.3999,13.6124,1,351.6882763,50.67641
3038.8381,57.5201,-6.722,-7.349,0.693,3024.0054,14.9604,1,351.6819003,50.689537
3540.4321,87.8131,-10.709,-11.346,0.467,3513.9402,15.1776,1,351.6850986,50.6828978
4042.5913,117.4957,-9.217,-9.863,0.516,4001.2168,15.2739,1,351.6883128,50.676254
4102.5033,121.0844,-7.135,-7.782,0.225,4059.1589,15.3618,1,351.6886952,50.6754612
993.6091,-69.5813,-7.003,-7.578,0.362,985.9774,16.2549,1,351.6689234,50.7166247
1660.2078,-26.4749,-7.334,-7.928,0.21,1658.3514,16.3062,1,351.6731203,50.7077881
2962.3822,54.2783,-6.958,-7.583,0.3,2949.0371,16.3141,1,351.6813847,50.6905424
439.6674,-106.3609,-6.205,-6.761,0.632,419.9324,16.4258,1,351.6654542,50.7239724
2376.1138,18.6653,-7.258,-7.87,0.313,2371.2917,16.5835,1,351.6776494,50.6983033
2399.5341,20.298,-7.122,-7.735,0.39,2394.4753,16.7637,1,351.6777943,50.6979922
2780.3491,44.0746,-6.715,-7.337,0.38,2770.2258,17.1573,1,351.6802076,50.692948
2871.3189,49.1397,-6.583,-7.206,0.477,2859.6392,16.6966,1,351.6807965,50.691746
3467.4806,85.0545,-6.756,-7.392,0.38,3442.9065,16.7065,1,351.6845999,50.6838554
782.07,-81.5154,-7.272,-7.84,0.515,770.6767,18.2616,1,351.6675555,50.7194204
1789.9576,-16.5095,-6.871,-7.469,0.33,1788.2188,18.0178,1,351.6739048,50.7060605
2461.1806,25.6711,-7.717,-8.331,0.194,2455.4514,18.2913,1,351.6781539,50.6971683
1107.7371,-59.7577,-10.085,-10.663,0.063,1101.7267,18.5622,1,351.6695921,50.7151
2084.6745,2.7753,-6.562,-7.167,0.367,2082.1177,18.7426,1,351.675755,50.7021525
3073.8331,63.3322,-6.637,-7.264,0.495,3058.322,18.543,1,351.6820479,50.689056
3688.0465,100.522,-6.568,-7.208,0.375,3657.5239,19.0118,1,351.6859622,50.6809256
380.7991,-106.409,-9.241,-9.795,0.576,359.3438,20.3182,1,351.6650065,50.7247346
598.7793,-91.7125,-6.53,-7.092,0.47,583.2557,20.2841,1,351.6663673,50.7218421
892.4499,-72.1523,-6.02,-6.591,0.548,883.1433,20.2766,1,351.6682052,50.7179465
887.0933,-71.5555,-6.372,-6.943,0.494,877.6906,21.2111,1,351.6681522,50.718013
1768.1492,-15.0999,-8.946,-9.542,0.493,1766.4159,20.7419,1,351.6737099,50.706336
2047.0166,2.3658,-6.204,-6.809,0.459,2044.6554,20.6428,1,351.6754766,50.7026419
3178.549,72.0086,-8.632,-9.262,0.113,3160.8657,20.8268,1,351.6826676,50.6876586
3331.6521,81.2854,-7.051,-7.684,0.223,3310.4746,20.9072,1,351.6836433,50.6856319
3622.3779,98.7437,-8.969,-9.607,0.083,3593.7217,21.051,1,351.6854988,50.6817843
3639.4122,99.812,-6.624,-7.263,0.444,3610.2832,21.1082,1,351.6856066,50.6815586
453.459,-99.4967,-7.072,-7.629,0.237,434.1026,22.2766,1,351.665419,50.7237607
1704.4478,-17.7537,-8.505,-9.101,0.626,1702.6746,22.0898,1,351.6732789,50.7071734
2590.823,37.1368,-7.073,-7.69,0.311,2583.5081,21.6884,1,351.6789066,50.6954348
127.2179,-120.7123,-7.009,-7.554,0.358,97.4312,23.3429,1,351.6633662,50.7280859
1760.5956,-13.5157,-7.205,-7.802,0.255,1758.8663,22.7572,1,351.67362,50.7064261
3431.419,89.7843,-6.54,-7.175,0.583,3407.8228,23.3661,1,351.6842288,50.6842995
730.1549,-78.9685,-6.599,-7.165,0.461,717.6656,24.1725,1,351.6671079,50.7200801
1007.8358,-60.635,-7.632,-8.207,0.193,1000.4166,24.125,1,351.6688489,50.7163974
2586.3076,39.6886,-7.603,-8.22,0.234,2579.0698,24.4396,1,351.67882,50.695481
791.7568,-73.6894,-7.62,-8.188,0.177,780.5547,25.3281,1,351.6674694,50.7192573
838.5484,-71.0906,-6.954,-7.524,0.398,828.2588,24.8264,1,351.6677728,50.7186391
1869.15,-4.2496,-6.154,-6.753,0.594,1867.3708,25.1086,1,351.6742573,50.7049762
2082.2368,9.021,-6.656,-7.261,0.416,2079.7227,24.9843,1,351.6756088,50.7021539
2182.5156,15.4058,-6.506,-7.113,0.681,2179.3879,25.104,1,351.6762419,50.7008251
2643.5067,43.7628,-6.93,-7.548,0.436,2635.5032,24.9887,1,351.6791722,50.6947209
2775.9138,52.1822,-8.746,-9.367,0.108,2765.9197,25.2967,1,351.6800081,50.6929663
2795.5721,52.6195,-7.795,-8.417,0.209,2785.2485,24.5558,1,351.6801488,50.6927097
3050.0887,68.5065,-7.598,-8.225,0.188,3035.1157,24.9568,1,351.6817615,50.6893384
3441.2486,92.2312,-6.455,-7.09,0.529,3417.425,25.1675,1,351.6842536,50.6841604
3485.9158,94.4835,-7.187,-7.823,0.375,3460.9448,24.7708,1,351.6845475,50.6835713
566.021,-87.7292,-7.792,-8.353,0.186,549.6675,26.3816,1,351.6660362,50.722247
1708.0718,-13.2917,-9.106,-9.701,0.542,1706.3156,26.2281,1,351.6732153,50.7071049
1965.1623,2.7635,-7.145,-7.746,0.405,1963.1509,26.0476,1,351.6748452,50.7036996
2027.4089,6.1564,-6.303,-6.906,0.409,2025.1558,25.5417,1,351.6752498,50.7028775
3265.9809,82.8365,-7.497,-8.129,0.247,3246.3936,26.2235,1,351.6831118,50.6864746
3385.1403,89.8658,-8.329,-8.963,0.195,3362.7236,26.1202,1,351.683875,50.6848981
3467.9167,94.6118,-6.233,-6.868,0.643,3443.4263,25.9329,1,351.6844079,50.6838037
1959.6263,3.4881,-6.801,-7.403,0.315,1957.6366,27.0951,1,351.6747882,50.7037677
2707.5212,49.3362,-8.216,-8.836,0.598,2698.6013,26.5947,1,351.6795456,50.6938654
3275.4573,83.8865,-6.621,-7.252,0.648,3255.6516,26.6896,1,351.6831625,50.6863468
2990.8299,67.6972,-8.984,-9.61,0.664,2977.0393,27.6595,1,351.681327,50.6901094
1109.1317,-49.0027,-7.058,-7.636,0.258,1103.1461,29.0303,1,351.6693829,50.7150301
3539.6811,102.4026,-10.154,-10.791,0.497,3513.3591,29.339,1,351.6847948,50.6828371
