X,Y,m,M,q,x,y,k,r,d
841.797,-90.4573,-6.657,-7.227,0.437,831.5765,5.5678,1,351.6681929,50.7186897
3629.1068,84.0032,-6.406,-7.045,0.514,3600.1045,6.4084,1,351.6858506,50.6817675
857.8952,-87.8555,-7.37,-7.94,0.388,847.9747,7.0804,1,351.6682624,50.7184688
1804.2225,-27.047,-8.74,-9.339,0.084,1802.443,6.8412,1,351.6742282,50.7059259
2229.8633,-0.6041,-8.987,-9.596,0.113,2226.2969,6.6317,1,351.6769291,50.7002886
1635.6168,-35.99,-7.855,-8.449,0.644,1633.6807,8.5295,1,351.6731269,50.7081515
2834.5088,38.3424,-10.433,-11.056,0.373,2823.4128,8.3853,1,351.6807364,50.6922738
3826.8209,97.4594,-7.344,-7.986,0.235,3792.1018,8.139,1,351.68708,50.6791431
326.3819,-121.4765,-8.487,-9.04,0.153,303.2992,9.0966,1,351.6648993,50.7255109
2764.9879,34.4457,-7.127,-7.748,0.35,2755.0515,8.7138,1,351.6802868,50.6931925
2808.4667,37.7237,-9.553,-10.175,0.498,2797.8174,9.3237,1,351.6805508,50.6926139
4001.1404,108.8623,-5.786,-6.432,0.666,3961.0288,9.2775,1,351.6881732,50.6768315
1144.0971,-66.4988,-6.672,-7.252,0.49,1138.5354,9.6224,1,351.6700064,50.7146611
1945.1726,-14.9856,-6.737,-7.339,0.534,1943.1654,9.9478,1,351.6750551,50.7040432
2153.789,-1.4916,-6.846,-7.453,0.268,2150.7847,10.3745,1,351.676368,50.7012776
3513.866,80.7496,-7.178,-7.815,0.276,3488.0173,9.8699,1,351.6850402,50.683275
3531.7151,82.042,-6.902,-7.539,0.278,3505.4001,10.0944,1,351.6851496,50.6830377
3801.3713,98.4679,-8.879,-9.521,0.573,3767.4412,10.5617,1,351.6868658,50.6794677
62.4071,-137.6489,-6.609,-7.152,0.665,30.2677,11.0177,1,351.6632179,50.7290058
855.3827,-83.5387,-10.852,-11.422,0.542,845.4136,11.4883,1,351.668155,50.7184805
2850.8811,41.9944,-7.128,-7.752,0.205,2839.5217,10.965,1,351.6807864,50.6920442
2978.7704,49.3633,-6.728,-7.354,0.488,2965.0703,10.5795,1,351.6816093,50.6903532
1459.7235,-43.2189,-8.008,-8.597,0.21,1457.0533,12.4567,1,351.6719349,50.7104632
2123.1899,-1.3351,-8.954,-9.56,0.596,2120.3862,12.387,1,351.6761318,50.701673
