X,Y,m,M,q,x,y,k,r,d
2329.8594,4.9222,-10.621,-10.584,0.037,2325.1714,5.8373,1,351.6548212,50.7195003
2864.7598,37.7991,-9.232,-9.208,0.627,2852.8274,5.9193,1,351.6651159,50.7159903
1416.5627,-51.8593,-8.836,-8.776,0.518,1413.342,6.5537,1,351.6372462,50.7254993
2600.0107,22.5438,-6.372,-6.342,0.685,2592.2036,6.801,1,351.6600114,50.7177149
3213.5443,59.9872,-8.202,-8.185,0.135,3194.686,6.9928,1,351.6718209,50.7136916
3778.0161,93.6122,-8.856,-8.849,0.687,3744.4585,7.0524,1,351.6826917,50.7099994
3894.8203,100.2301,-8.277,-8.272,0.174,3857.7329,6.8115,1,351.6849441,50.7092395
4003.8433,106.5254,-8.214,-8.211,0.151,3963.3105,6.727,1,351.6870453,50.7085287
4079.2816,110.705,-8.345,-8.344,0.148,4036.2859,6.5106,1,351.6885008,50.7080391
4092.6076,111.5363,-9.883,-9.882,0.613,4049.1719,6.5632,1,351.688757,50.7079514
820.987,-89.6626,-8.623,-8.544,0.578,810.0822,7.5675,1,351.62579,50.7294197
1768.214,-27.533,-11.313,-11.262,0.613,1766.1871,8.4388,1,351.6439912,50.7231589
1796.8642,-26.3,-8.61,-8.56,0.135,1794.8373,7.8769,1,351.6445475,50.7229776
2007.6774,-12.7139,-7.713,-7.668,0.277,2005.1765,8.1923,1,351.6485999,50.7215868
2571.8449,22.0023,-8.508,-8.477,0.547,2564.4241,7.9545,1,351.6594584,50.7178848
2820.4265,36.8046,-9.05,-9.025,0.108,2809.2712,7.5717,1,351.6642468,50.7162595
3064.4566,52.3485,-6.473,-6.453,0.686,3048.7798,8.2904,1,351.668938,50.7146511
3139.6052,56.4226,-8.137,-8.118,0.213,3122.3665,7.8457,1,351.6703891,50.7141647
3641.3154,87.0954,-6.315,-6.306,0.681,3611.7029,8.5538,1,351.6800444,50.7108733
3786.7277,94.8951,-7.694,-7.688,0.278,3752.9229,7.7967,1,351.6828525,50.7099328
4113.8375,114.5737,-9.823,-9.822,0.686,4069.7139,8.3012,1,351.6891496,50.7077903
1302.6483,-56.4411,-6.334,-6.27,0.556,1298.5432,9.2533,1,351.6350309,50.726216
1075.0907,-71.4847,-4.563,-4.492,-2.643,1068.3876,8.9898,1,351.6306593,50.7277215
1979.669,-13.1009,-8.989,-8.943,0.101,1977.2775,9.529,1,351.6480486,50.7217538
2677.1859,30.1782,-7.115,-7.086,0.464,2668.3074,9.6273,1,351.6614702,50.7171722
2753.7071,34.9502,-6.13,-6.103,0.684,2743.6597,9.7209,1,351.6629423,50.7166692
3243.1075,65.3489,-8.493,-8.476,0.095,3223.6196,10.4689,1,351.6723573,50.7134531
4118.2229,116.6314,-9.447,-9.447,0.386,4073.9717,10.0407,1,351.6892176,50.7077391
1219.8532,-59.5629,-10.781,-10.715,0.036,1214.9298,11.4436,1,351.6334189,50.7267343
2005.3589,-9.7775,-7.718,-7.673,0.355,2002.8798,11.1992,1,351.6485271,50.7215634
