X,Y,m,M,q,x,y,k,r,d
1082.4554,-74.4741,-7.583,-7.454,0.29,1075.8517,5.5827,1,351.6308074,50.7277969
1812.9178,-27.4496,-8.418,-8.31,0.136,1810.8724,5.764,1,351.644851,50.7229796
2833.9426,36.5186,-6.5,-6.416,0.636,2822.5505,6.4952,1,351.6644921,50.7162654
2933.7076,42.4626,-7.701,-7.62,0.273,2920.5413,6.3827,1,351.6664137,50.715613
3371.8254,69.0115,-8.298,-8.225,0.681,3349.2573,6.5533,1,351.6748479,50.712742
3432.451,72.0326,-7.884,-7.813,0.478,3408.3694,5.977,1,351.6760209,50.7123529
785.8055,-92.9648,-8.014,-7.876,0.505,774.2101,6.6169,1,351.6250978,50.7297452
3272.9084,63.7913,-9.26,-9.186,0.612,3252.7004,7.2279,1,351.6729367,50.7133806
3901.0723,100.934,-7.262,-7.199,0.351,3863.7979,7.1372,1,351.6850364,50.709275
3507.7488,78.3604,-7.424,-7.354,0.325,3481.7476,7.7656,1,351.6774542,50.7118373
3516.8649,79.1627,-11.088,-11.018,0.02,3490.6287,8.018,1,351.6776274,50.7117744
3615.3405,84.8275,-8.086,-8.019,0.605,3586.4431,7.8487,1,351.6795257,50.7111328
4082.8929,112.5153,-9.275,-9.216,0.585,4039.7971,8.0549,1,351.6885306,50.708076
350.7789,-119.4676,-9.382,-9.23,0.514,328.1844,9.3159,1,351.6167183,50.7325941
1416.8173,-48.8903,-7.856,-7.737,0.3,1413.6039,9.4458,1,351.637199,50.7255412
1524.3824,-42.2009,-8.683,-8.568,0.674,1521.7905,9.2481,1,351.6392691,50.7248347
1590.6591,-38.646,-8.622,-8.508,0.599,1588.3324,8.5877,1,351.6405498,50.7244066
2456.4295,15.9327,-8.891,-8.799,0.466,2450.4272,8.9529,1,351.6572026,50.7187098
2598.7048,25.1333,-8.078,-7.989,0.136,2590.9324,9.3966,1,351.6599367,50.7177705
3011.4883,50.3345,-8.838,-8.758,0.661,2996.8748,9.4458,1,351.6678823,50.7150637
4005.7897,108.6264,-8.712,-8.652,0.532,3965.2188,8.6459,1,351.6870395,50.7085717
4130.221,116.5942,-8.389,-8.33,0.574,4085.5588,9.3306,1,351.6894304,50.7077505
1150.8607,-65.7769,-10.09,-9.963,0.065,1145.142,9.743,1,351.6320834,50.727292
1469.2466,-44.9167,-9.092,-8.975,0.668,1466.3649,10.0433,1,351.6382015,50.7251879
1601.9151,-36.4089,-7.703,-7.589,0.676,1599.6295,10.0745,1,351.6407523,50.7243133
1658.8589,-32.914,-7.891,-7.779,0.317,1656.7201,9.9488,1,351.6418486,50.7239399
1746.4875,-27.6007,-7.676,-7.567,0.518,1744.4612,9.714,1,351.6435362,50.7233661
1968.5708,-13.7597,-8.566,-8.462,0.559,1966.2166,9.566,1,351.6478096,50.7219069
2333.3507,9.7096,-10.694,-10.599,0.104,2328.6555,10.2885,1,351.6548214,50.7195006
2626.5048,27.4082,-8.024,-7.936,0.165,2618.3569,9.9515,1,351.6604666,50.717581
3290.771,67.4302,-8.48,-8.406,0.646,3270.1721,9.7164,1,351.6732571,50.7132315
4062.6653,113.6958,-10.585,-10.526,0.531,4020.2622,10.3334,1,351.6881193,50.7081784
682.0397,-95.6453,-7.083,-6.941,0.527,668.2156,10.7871,1,351.6230659,50.7303791
1029.474,-72.8007,-9.714,-9.583,0.662,1022.1223,10.6291,1,351.6297422,50.7280825
1844.2237,-20.5985,-8.19,-8.082,0.602,1842.1649,10.5278,1,351.6454086,50.7227125
1953.9207,-12.7726,-8.753,-8.648,0.594,1951.6267,11.4276,1,351.6475103,50.7219793
2114.1634,-2.787,-6.81,-6.71,0.582,2111.1492,11.3795,1,351.6505936,50.7209264
3217.0764,64.7728,-8.3,-8.225,0.118,3198.1804,11.4254,1,351.6718219,50.7136917
3465.2308,78.8056,-6.895,-6.824,0.672,3440.366,10.6434,1,351.6766081,50.7120781
3898.3724,105.0051,-8.337,-8.274,0.149,3861.2297,11.223,1,351.6849457,50.7092396
1641.6754,-31.6506,-8.366,-8.253,0.51,1639.5013,12.2529,1,351.6414966,50.7240235
1800.3374,-21.5696,-8.744,-8.635,0.086,1798.323,12.2843,1,351.644548,50.7229787
2823.9203,41.6039,-9.139,-9.055,0.086,2812.7402,12.026,1,351.664247,50.7162596
3230.0811,65.8812,-8.964,-8.888,0.568,3210.8979,11.7426,1,351.6720694,50.7136025
1364.8266,-48.4127,-6.14,-6.02,0.662,1361.2474,13.1914,1,351.6361644,50.7258361
2011.0679,-7.834,-7.603,-7.5,0.431,2008.5739,12.7462,1,351.6485973,50.7215865
3645.0043,91.9568,-6.854,-6.787,0.515,3615.3391,13.0439,1,351.6800479,50.7108715
1510.0038,-38.2865,-8.953,-8.837,0.671,1507.3506,13.9796,1,351.6389484,50.7248689
1983.1903,-8.3378,-9.07,-8.967,0.122,1980.8047,13.9614,1,351.6480496,50.7217542
