X,Y,m,M,q,x,y,k,r,d
2460.695,13.4257,-7.341,-7.308,0.564,2454.6282,6.2581,1,351.6572121,50.7187119
3469.3119,73.7098,-6.521,-6.509,0.684,3444.2888,5.4763,1,351.6766376,50.7121137
3520.795,77.1929,-11.011,-11.0,0.027,3494.4326,5.8862,1,351.6776253,50.7117717
4100.0829,111.4052,-9.467,-9.466,0.064,4056.3926,6.0162,1,351.6887832,50.7079857
460.8296,-115.0255,-8.135,-8.044,0.666,441.4499,6.3417,1,351.618761,50.7318972
1154.8724,-67.864,-10.038,-9.969,0.03,1149.2004,7.439,1,351.6320841,50.7272904
2448.8125,13.3598,-6.842,-6.808,0.519,2442.884,6.9056,1,351.6569773,50.7187816
2602.7375,23.135,-7.969,-7.938,0.195,2594.8962,7.2133,1,351.659937,50.7177676
1662.7606,-34.926,-7.944,-7.89,0.242,1660.6224,7.7389,1,351.6418464,50.7239379
2337.3051,7.7264,-10.596,-10.56,0.034,2332.5601,8.1191,1,351.65482,50.7194979
2630.462,25.3362,-7.978,-7.948,0.188,2622.2451,7.7016,1,351.660466,50.7175794
1610.3041,-37.3738,-7.997,-7.942,0.559,1608.0386,8.608,1,351.6408295,50.7242722
3221.0125,62.853,-8.274,-8.257,0.16,3202.0095,9.3357,1,351.6718195,50.7136884
3902.2967,103.1299,-8.274,-8.27,0.14,3865.0061,9.1891,1,351.6849426,50.7092357
4011.3131,109.4732,-8.201,-8.198,0.13,3970.5706,9.152,1,351.6870432,50.7085244
4086.7516,113.5418,-8.329,-8.328,0.229,4043.5388,8.8286,1,351.6884997,50.7080361
1804.2974,-23.5101,-8.652,-8.602,0.137,1802.2751,10.1441,1,351.6445462,50.7229755
2015.0836,-9.9603,-7.551,-7.506,0.292,2012.5607,10.4259,1,351.6485984,50.7215853
2827.9034,39.5887,-9.109,-9.084,0.076,2816.6404,9.8333,1,351.6642464,50.7162572
3147.1036,59.2103,-8.163,-8.145,0.184,3129.7258,10.1108,1,351.6703891,50.7141622
3391.355,73.2734,-8.16,-8.146,0.498,3368.3389,9.551,1,351.6750978,50.7125708
3794.2822,97.808,-7.726,-7.72,0.251,3760.2825,10.1822,1,351.6828524,50.7099284
1276.7091,-56.2755,-8.932,-8.867,0.463,1272.3627,11.0584,1,351.6343924,50.72644
2711.5773,33.7577,-9.381,-9.353,0.633,2702.1948,11.0622,1,351.6619957,50.7170041
1924.5537,-14.3713,-9.192,-9.145,0.523,1922.3442,11.6696,1,351.6468452,50.7221647
1987.1687,-10.3598,-9.003,-8.957,0.106,1984.7605,11.7445,1,351.648049,50.7217519
2684.546,32.9157,-7.197,-7.168,0.358,2675.5747,11.8502,1,351.661468,50.7171712
3404.5751,76.2889,-9.032,-9.019,0.677,3381.2515,11.7069,1,351.675332,50.7124564
3727.8528,95.9261,-8.247,-8.239,0.632,3695.8228,12.1471,1,351.6815542,50.710337
4112.994,118.5261,-5.751,-5.75,0.69,4068.9514,12.1636,1,351.6889737,50.7078215
1259.5049,-55.2374,-8.438,-8.372,0.617,1254.9989,13.1672,1,351.634042,50.7265265
2012.8787,-7.0583,-7.773,-7.728,0.338,2010.3795,13.3923,1,351.6485282,50.7215617
2781.912,40.2271,-7.269,-7.242,0.283,2771.438,13.1755,1,351.6633297,50.7165156
3250.5667,68.0737,-8.215,-8.198,0.219,3230.9294,12.6756,1,351.6723571,50.7134517
3594.6741,88.976,-8.782,-8.772,0.655,3566.4031,13.0456,1,351.6789805,50.7111959
1227.3249,-56.8188,-10.778,-10.711,0.028,1222.4846,13.66,1,351.6334188,50.7267326
2468.2523,21.5265,-10.381,-10.348,0.032,2462.145,13.6877,1,351.6572877,50.7185666
301.6275,-116.7957,-6.506,-6.409,0.637,277.5002,15.2575,1,351.6156218,50.7328402
2446.9195,21.2054,-6.392,-6.358,0.555,2441.0593,14.6537,1,351.6568681,50.7186941
2755.1762,40.5956,-8.498,-8.471,0.126,2745.145,15.1186,1,351.6627967,50.7166658
3371.0426,77.8752,-6.688,-6.674,0.502,3348.5786,15.1821,1,351.6746534,50.7126308
3680.7703,95.8542,-8.478,-8.469,0.221,3650.1201,14.7655,1,351.6806225,50.7106107
774.22,-83.8116,-9.837,-9.756,0.691,762.3831,16.3803,1,351.6246866,50.7296928
1045.1447,-65.9115,-8.354,-8.282,0.126,1038.0271,16.3864,1,351.6298919,50.7279008
2421.0958,20.5222,-9.583,-9.548,0.156,2415.5334,15.5378,1,351.6563628,50.7188522
2906.8123,50.4149,-6.784,-6.76,0.529,2894.2151,15.6865,1,351.6657103,50.7156644
3594.4801,91.6685,-8.198,-8.188,0.622,3566.2427,15.6613,1,351.678952,50.7111632
109.1476,-128.4571,-9.313,-9.209,0.499,78.4732,16.7922,1,351.6119133,50.7340997
261.8307,-117.3071,-7.21,-7.112,0.326,236.424,17.4374,1,351.6148377,50.7330768
634.3436,-92.1593,-7.859,-7.774,0.645,619.41,17.3637,1,351.6219908,50.7306067
747.9057,-84.5369,-6.567,-6.486,0.56,735.5162,17.3925,1,351.6241717,50.7298541
907.1324,-74.2427,-11.953,-11.876,0.024,897.8123,17.1265,1,351.6272331,50.7288038
1084.7772,-62.7553,-9.366,-9.295,0.07,1078.2122,16.9385,1,351.6306484,50.7276319
2584.0703,32.3798,-7.146,-7.115,0.317,2576.5447,17.3162,1,351.6594826,50.7177598
595.0255,-94.0248,-7.729,-7.643,0.295,579.1392,18.125,1,351.6212286,50.7308575
891.4131,-74.4537,-7.118,-7.042,0.412,881.813,17.9396,1,351.6269235,50.7288974
1862.0659,-11.147,-10.032,-9.983,0.464,1860.0154,18.6605,1,351.6455777,50.722486
3377.4302,81.1177,-8.287,-8.273,0.117,3354.8391,17.9525,1,351.6747502,50.7125531
3468.3951,86.1334,-7.027,-7.015,0.583,3443.5208,17.5539,1,351.6765058,50.7119632
3536.0922,90.7195,-8.302,-8.291,0.136,3509.4558,18.0957,1,351.6778045,50.7115134
3785.8268,105.0099,-7.869,-7.863,0.249,3752.1616,17.6245,1,351.6826191,50.7098871
1400.4959,-39.5968,-8.694,-8.632,0.607,1397.194,19.578,1,351.6366927,50.7255144
1740.4457,-17.6123,-10.107,-10.055,0.035,1738.4481,19.8503,1,351.6432273,50.7232711
1931.5273,-5.7668,-11.833,-11.786,0.029,1929.3318,19.6412,1,351.6469047,50.7220164
2012.9742,-0.4383,-8.829,-8.785,0.09,2010.5017,19.8459,1,351.6484695,50.7214781
2371.5633,22.1337,-6.946,-6.91,0.45,2366.5437,20.0835,1,351.6553668,50.7191188
2772.3206,46.8299,-6.238,-6.211,0.658,2762.0527,20.1586,1,351.6630793,50.7164883
3280.8214,77.5877,-6.949,-6.933,0.464,3260.553,20.1355,1,351.6728692,50.7131571
3778.2409,106.7144,-10.356,-10.349,0.043,3744.822,19.7042,1,351.6824533,50.7099097
3847.2265,111.0183,-7.858,-7.853,0.217,3811.7495,19.9373,1,351.6837799,50.709456
1189.6733,-51.7846,-8.032,-7.964,0.203,1184.4282,20.996,1,351.6326267,50.7268873
1312.7172,-43.3051,-8.378,-8.314,0.149,1308.7213,21.493,1,351.6349873,50.7260689
2668.2652,40.9778,-6.192,-6.162,0.559,2659.592,20.655,1,351.6610717,50.7171643
3437.2776,88.066,-6.536,-6.523,0.536,3413.2295,21.2205,1,351.6758719,50.7121192
3437.8667,88.0328,-6.5,-6.487,0.655,3413.8032,21.1543,1,351.6758838,50.7121162
634.0578,-88.0082,-7.385,-7.3,0.645,619.1125,21.4715,1,351.6219472,50.7305563
821.9738,-74.9461,-8.862,-8.783,0.06,811.0821,21.9781,1,351.6255519,50.7293053
1224.0053,-48.3804,-6.695,-6.629,0.649,1219.1384,22.1481,1,351.6332759,50.7266459
1979.2298,-0.6756,-8.35,-8.304,0.144,1976.8895,21.6821,1,351.6478032,50.7216764
2608.3303,38.8244,-8.241,-8.211,0.495,2600.5142,22.1346,1,351.6599042,50.7175385
3456.0565,90.2545,-6.974,-6.962,0.371,3431.5459,22.255,1,351.6762237,50.711983
724.2284,-80.5228,-8.045,-7.963,0.202,711.3339,22.8992,1,351.6236658,50.7299407
1001.3539,-62.5504,-8.572,-8.498,0.581,993.5824,22.5117,1,351.6289934,50.728112
1543.5163,-27.318,-8.346,-8.288,0.138,1541.0422,22.6176,1,351.6394142,50.7245327
2088.7857,7.3682,-10.11,-10.067,0.031,2085.968,22.8291,1,351.6499,50.7209413
2116.5649,9.0072,-7.724,-7.682,0.52,2113.5896,22.7344,1,351.6504354,50.7207599
2384.5204,25.7983,-7.921,-7.885,0.229,2379.385,22.8718,1,351.65559,50.7189979
3394.3291,87.7611,-7.696,-7.682,0.225,3371.3782,23.4082,1,351.6750241,50.7123719
3468.2237,92.1087,-6.809,-6.797,0.645,3443.4133,23.3479,1,351.6764477,50.7118892
3512.2738,94.1036,-8.285,-8.274,0.166,3486.3118,22.7407,1,351.6773018,50.711609
3785.8654,110.4353,-7.485,-7.478,0.307,3752.2595,22.8667,1,351.6825702,50.7098189
3934.7284,119.4479,-8.883,-8.879,0.088,3896.5938,23.1151,1,351.6854355,50.7088432
447.1055,-98.3757,-6.688,-6.596,0.563,427.3091,23.6807,1,351.6183368,50.7317677
1517.8477,-27.7936,-8.698,-8.639,0.083,1515.2561,23.7599,1,351.63891,50.7246872
317.3077,-105.4886,-10.439,-10.343,0.435,293.6474,25.3681,1,351.6158293,50.7326077
407.4097,-100.0672,-7.388,-7.295,0.431,386.4654,24.6692,1,351.6175655,50.7320186
633.9601,-84.912,-6.9,-6.814,0.678,619.0089,24.5278,1,351.621917,50.730518
2121.2365,11.7452,-8.159,-8.117,0.135,2118.2456,25.1199,1,351.6505029,50.7206985
2756.4065,51.0194,-7.125,-7.098,0.478,2746.4292,25.1737,1,351.6627257,50.7165279
3706.5822,107.636,-8.238,-8.23,0.179,3675.3025,24.6837,1,351.6810259,50.7103134
3825.6291,115.5744,-7.021,-7.015,0.513,3790.8716,25.5696,1,351.6833106,50.709524
4082.9762,129.6465,-8.206,-8.204,0.223,4040.0876,24.5889,1,351.6882776,50.7078561
849.0921,-69.5097,-8.839,-8.761,0.528,838.7216,25.555,1,351.6260396,50.7290802
1590.9483,-20.691,-10.842,-10.786,0.055,1588.6671,26.1365,1,351.6402934,50.724175
1918.3018,-0.3706,-8.268,-8.221,0.632,1916.1615,25.7229,1,351.6465933,50.7220253
3748.8193,111.6069,-7.703,-7.696,0.198,3716.3406,26.1116,1,351.6818259,50.7100189
1292.6227,-39.1488,-7.49,-7.425,0.268,1288.4482,26.842,1,351.6345511,50.7261331
1487.6287,-26.3129,-9.891,-9.832,0.45,1484.8827,27.1056,1,351.6382977,50.7248435
1535.9587,-23.924,-8.87,-8.812,0.657,1533.4597,26.413,1,351.6392335,50.7245338
997.5231,-57.1576,-8.491,-8.417,0.398,989.6918,28.0576,1,351.6288682,50.7280665
2972.7845,67.3882,-6.715,-6.692,0.495,2959.0708,28.2724,1,351.6668617,50.7150694
297.0454,-102.8455,-8.527,-8.43,0.639,272.7333,29.3452,1,351.6154035,50.7326917
993.3433,-56.051,-8.398,-8.325,0.651,985.4502,29.4152,1,351.6287752,50.7280768
2821.4602,59.3465,-7.619,-7.593,0.273,2810.4519,29.4044,1,351.6639381,50.7160467
1644.5171,-13.3089,-11.652,-11.597,0.032,1642.3988,30.016,1,351.6412873,50.7237724
2982.3847,69.2585,-6.29,-6.267,0.575,2968.499,29.5218,1,351.6670348,50.7149903
3633.3243,109.0273,-7.611,-7.602,0.643,3604.1707,30.2251,1,351.6795624,50.7107205
3798.9666,118.9051,-8.072,-8.065,0.199,3765.0608,30.308,1,351.6827521,50.7096367
3824.662,120.293,-10.359,-10.353,0.043,3789.9868,30.1856,1,351.6832483,50.7094704
1850.2231,0.2176,-9.596,-9.547,0.586,1848.2288,30.4916,1,351.6452392,50.722412
2318.569,29.6347,-8.343,-8.306,0.104,2314.1196,30.5859,1,351.6542485,50.7193316
2885.9331,64.4917,-8.684,-8.659,0.616,2873.823,30.5867,1,351.665168,50.7156088
476.8623,-88.0157,-6.105,-6.014,0.69,457.8727,31.9116,1,351.6188319,50.7314656
986.068,-53.9599,-6.913,-6.838,0.586,978.0594,31.9407,1,351.6286119,50.7280927
4078.4852,137.0748,-9.182,-9.181,0.07,4035.8389,32.0145,1,351.6881207,50.707789
716.2246,-70.391,-8.322,-8.239,0.117,703.1456,33.4001,1,351.6234146,50.7298599
1069.8691,-46.9803,-7.538,-7.467,0.328,1063.1112,33.3872,1,351.6302088,50.7275203
2000.4415,12.7444,-10.313,-10.267,0.047,1998.0754,33.479,1,351.6481007,50.7213853
2346.0574,33.5511,-9.132,-9.095,0.079,2341.3657,32.74,1,351.6547572,50.7191233
2959.6657,71.3311,-8.308,-8.285,0.222,2946.2349,32.8733,1,351.6665658,50.7150959
3795.8295,121.359,-7.38,-7.373,0.417,3762.0461,32.859,1,351.6826676,50.7096241
63.3588,-113.7562,-7.861,-7.755,0.179,30.9156,34.4789,1,351.6108714,50.7341801
500.331,-85.1071,-7.367,-7.277,-2.73,481.9808,33.2126,1,351.6192704,50.7312934
1713.477,-4.3586,-7.367,-7.314,0.317,1711.4968,34.4797,1,351.6425718,50.723261
820.6045,-61.339,-6.551,-6.472,0.58,809.6792,35.4538,1,351.6254004,50.7291425
930.3974,-54.6016,-9.766,-9.691,0.574,921.4745,34.9222,1,351.6275146,50.7284228
2529.4207,46.7448,-6.306,-6.273,0.671,2522.7085,34.5594,1,351.6582687,50.7178961
3294.7248,93.9134,-7.881,-7.865,0.206,3274.2766,35.1471,1,351.6729952,50.7128718
3387.3949,98.8361,-9.76,-9.745,0.612,3364.7251,34.5359,1,351.6747854,50.7122732
3543.7777,108.2857,-8.013,-8.002,0.339,3517.1086,34.6531,1,351.6777959,50.7112486
247.0351,-99.2015,-9.992,-9.893,0.653,221.0869,36.3302,1,351.614379,50.7329353
