X,Y,m,M,q,x,y,k,r,d
1528.205,-44.9506,-6.169,-6.053,0.571,1525.6229,6.3179,1,351.6393974,50.7248689
2008.9466,-15.4647,-6.171,-6.068,0.642,2006.4294,5.4308,1,351.6486525,50.7217163
2896.1984,39.4523,-8.223,-8.141,0.345,2883.7126,5.6705,1,351.6657258,50.7158898
3432.71,72.5372,-8.473,-8.402,0.444,3408.6267,6.4506,1,351.6760488,50.7123669
3678.9837,86.7868,-6.641,-6.575,0.614,3648.2891,6.0997,1,351.6807955,50.7107612
1472.5117,-48.1638,-9.143,-9.025,0.061,1469.6405,6.6592,1,351.6383233,50.7252315
2223.0749,-0.0372,-7.786,-7.688,0.62,2219.311,7.4542,1,351.6527534,50.7202831
2738.1443,31.151,-8.63,-8.544,0.385,2728.3193,6.9526,1,351.6626711,50.7169093
68.4484,-140.3038,-6.738,-6.574,0.503,36.2965,7.8574,1,351.6113402,50.7345101
1081.8961,-72.3958,-7.582,-7.453,0.216,1075.286,7.6588,1,351.6308047,50.7277959
1812.338,-25.5738,-8.591,-8.483,0.518,1810.2994,7.6323,1,351.6448498,50.7229813
2933.1959,44.6305,-7.663,-7.582,0.299,2920.0562,8.5168,1,351.6664112,50.7156106
3464.4896,76.4122,-7.056,-6.985,0.691,3439.6201,8.3695,1,351.6766427,50.7121342
1822.1028,-23.9228,-8.335,-8.227,0.65,1820.0574,8.6432,1,351.6450281,50.722904
2445.1578,15.4997,-8.249,-8.157,0.557,2439.2844,9.2068,1,351.6570107,50.7188024
3900.6765,102.9428,-7.414,-7.352,0.317,3863.4377,9.1002,1,351.6850376,50.7092739
2879.1182,43.0618,-6.469,-6.386,0.621,2866.9683,10.1817,1,351.6653544,50.7159435
3507.2741,80.4429,-7.619,-7.549,0.502,3481.3066,9.808,1,351.6774532,50.7118357
3516.3947,81.2885,-11.097,-11.027,0.031,3490.1929,10.102,1,351.677626,50.7117723
4095.77,115.4688,-9.518,-9.459,0.082,4052.2747,10.1813,1,351.688786,50.7079862
1416.4082,-46.8716,-7.631,-7.512,0.236,1413.1958,11.4488,1,351.6371998,50.72554
1990.7745,-10.7848,-9.191,-9.087,0.663,1988.3512,11.109,1,351.6482497,50.7217628
2456.3117,17.6046,-7.416,-7.324,0.368,2450.3208,10.5868,1,351.6572124,50.7187114
2598.2908,27.173,-8.11,-8.021,0.201,2590.5374,11.4044,1,351.6599373,50.7177692
3045.048,54.2105,-8.815,-8.736,0.57,3029.7922,11.2352,1,351.6685389,50.7148425
1150.3764,-63.7687,-10.092,-9.965,0.05,1144.6534,11.7446,1,351.6320829,50.7272915
1658.3396,-30.8114,-7.858,-7.746,0.19,1656.2056,12.0372,1,351.6418465,50.7239384
1813.2375,-21.0636,-8.389,-8.281,0.574,1811.2135,11.9828,1,351.6448263,50.7229195
2332.8814,11.8227,-10.664,-10.569,0.033,2328.2019,12.3745,1,351.6548202,50.7194986
2626.0663,29.4166,-8.022,-7.934,0.179,2617.938,11.9301,1,351.660467,50.7175802
3336.41,72.1625,-7.024,-6.951,0.43,3314.7512,11.6546,1,351.6741451,50.7129295
1802.119,-20.1914,-10.692,-10.583,0.489,1800.1083,13.5208,1,351.6445981,50.7229729
3347.3374,73.9961,-8.892,-8.819,0.634,3325.4216,12.7977,1,351.6743448,50.7128432
3897.8902,107.1391,-8.414,-8.351,0.165,3860.7871,13.312,1,351.684944,50.7092375
4006.9143,113.5951,-8.249,-8.188,0.156,3966.366,13.3806,1,351.6870438,50.7085246
4082.4121,117.7603,-8.642,-8.582,0.544,4039.397,13.1451,1,351.6885006,50.7080348
2823.4724,43.6749,-9.157,-9.073,0.106,2812.3152,14.0638,1,351.6642467,50.7162581
3142.6518,63.3027,-8.163,-8.086,0.154,3125.4062,14.3385,1,351.6703888,50.7141631
3216.4341,66.8762,-8.511,-8.435,0.581,3197.5718,13.5014,1,351.6718174,50.7136909
3789.8457,101.8879,-7.823,-7.759,0.187,3756.0249,14.378,1,351.6828526,50.7099294
2010.6755,-5.763,-7.681,-7.578,0.518,2008.1915,14.791,1,351.648598,50.7215847
3532.275,87.6579,-10.246,-10.177,0.448,3505.7092,15.3526,1,351.6778822,50.7116004
3570.9267,89.4157,-7.728,-7.659,0.667,3543.3167,14.8333,1,351.6786316,50.7113544
3644.4149,94.0426,-6.772,-6.705,0.489,3614.7886,15.095,1,351.6800445,50.7108706
976.9694,-70.5113,-8.44,-8.308,0.538,968.813,16.2663,1,351.6287083,50.7283794
1161.7084,-58.7791,-9.03,-8.903,0.692,1156.1276,15.9173,1,351.6322618,50.7271633
1443.7662,-40.8392,-5.708,-5.59,0.655,1440.744,15.6365,1,351.6376867,50.725306
1982.6932,-6.2769,-9.01,-8.906,0.087,1980.3176,16.0032,1,351.6480484,50.7217531
2065.298,-0.8085,-8.129,-8.028,0.547,2062.572,16.2862,1,351.6496348,50.7212063
2144.6507,3.7257,-8.442,-8.343,0.683,2141.4771,15.8757,1,351.6511654,50.72069
2680.172,37.1311,-7.281,-7.194,0.35,2671.2959,16.2073,1,351.6614681,50.7171701
3275.5067,73.1279,-7.736,-7.662,0.575,3255.323,16.1231,1,351.6729301,50.7132703
4002.1169,115.9318,-8.368,-8.307,0.641,3961.7527,15.9079,1,351.6869274,50.7085232
629.9989,-93.1159,-8.401,-8.257,0.493,614.9616,16.7083,1,351.6220388,50.7306703
899.9594,-74.8146,-8.897,-8.762,0.56,890.5123,17.0299,1,351.6272215,50.7288789
2777.5483,44.3417,-7.425,-7.34,0.298,2767.1741,17.4312,1,351.6633309,50.7165157
3246.2302,72.1864,-8.169,-8.094,0.189,3226.7322,16.9133,1,351.6723589,50.7134517
658.0664,-89.3564,-8.835,-8.692,0.606,643.6911,18.5591,1,351.6225607,50.7304608
1222.8516,-52.7318,-10.827,-10.702,0.05,1217.9678,17.9531,1,351.6334181,50.7267336
1309.2511,-47.4458,-9.771,-9.649,0.478,1305.2191,17.6532,1,351.6350818,50.7261674
1596.6096,-28.7414,-8.95,-8.836,0.626,1594.3254,17.9064,1,351.6406045,50.7242697
2008.3928,-3.0585,-7.745,-7.641,0.276,2005.929,17.5696,1,351.6485281,50.7215639
2388.2063,20.9981,-6.385,-6.291,0.673,2383.0051,17.9767,1,351.6558323,50.7190632
2463.8076,25.6561,-10.454,-10.362,0.098,2457.7771,17.9725,1,351.6572873,50.718567
970.1639,-68.1243,-9.339,-9.206,0.399,961.8981,19.0518,1,351.6285516,50.7283888
2442.2616,25.6572,-6.619,-6.526,0.504,2436.4812,19.2656,1,351.6568604,50.7186917
2750.7628,44.6818,-8.532,-8.446,0.138,2740.8318,19.3506,1,351.6627973,50.7166666
3065.1301,63.383,-6.736,-6.657,0.664,3049.531,18.9542,1,351.6688527,50.7146112
3069.3171,63.5662,-8.387,-8.309,0.243,3053.6331,18.8861,1,351.668934,50.7145846
175.8135,-121.0431,-9.058,-8.898,0.639,147.5071,19.578,1,351.6132923,50.7336476
2416.6623,24.6478,-9.65,-9.557,0.077,2411.1733,19.8197,1,351.6563626,50.7188526
2824.315,49.5419,-6.454,-6.37,0.624,2813.1863,19.712,1,351.6642097,50.7161796
3730.3129,104.587,-6.352,-6.286,0.685,3698.3047,20.3803,1,351.681649,50.7102406
4076.8236,124.2725,-8.843,-8.783,0.611,4034.0764,19.747,1,351.6883303,50.7079856
902.6389,-70.1484,-11.989,-11.855,0.034,893.2392,21.4432,1,351.6272319,50.7288049
1040.6191,-61.7575,-8.404,-8.274,0.153,1033.4373,20.7574,1,351.6298895,50.7279013
1080.3056,-58.6499,-9.39,-9.261,0.067,1073.6814,21.2565,1,351.6306476,50.7276327
1265.9157,-46.4707,-8.202,-8.079,0.33,1261.4819,21.3572,1,351.6342142,50.7264059
1425.5529,-36.2502,-8.464,-8.345,0.545,1422.4209,21.2773,1,351.6372839,50.7253539
2454.4702,28.467,-10.18,-10.087,0.681,2448.5649,21.2677,1,351.6570766,50.7185858
2579.5983,36.4788,-7.051,-6.961,0.562,2572.1594,21.5696,1,351.6594819,50.7177607
2964.0344,59.2872,-8.401,-8.32,0.608,2950.426,20.9256,1,351.6668879,50.7152481
590.4948,-89.9219,-7.791,-7.647,0.238,574.4931,22.4679,1,351.6212267,50.7308587
743.8048,-80.6611,-6.481,-6.341,0.546,731.3251,21.4762,1,351.6241804,50.7298557
886.9302,-70.4828,-7.415,-7.28,0.276,877.2488,22.135,1,351.6269237,50.7289
1031.9303,-61.4456,-6.669,-6.538,0.445,1024.6193,21.6233,1,351.6297145,50.7279477
1750.208,-15.255,-7.135,-7.025,0.649,1748.2218,21.5506,1,351.6435245,50.7232115
3372.906,85.2471,-8.321,-8.248,0.167,3350.4668,22.2138,1,351.6747482,50.712554
3531.7514,94.7745,-8.31,-8.241,0.143,3505.2722,22.2693,1,351.6778067,50.7115142
3781.4742,109.1956,-7.861,-7.796,0.145,3747.9858,21.9185,1,351.68262,50.7098863
176.2284,-118.2964,-5.885,-5.725,-23.62,147.9273,22.2655,1,351.6132754,50.7336108
3341.4679,83.918,-8.545,-8.472,0.669,3319.7908,22.7483,1,351.6741377,50.7127528
3464.0092,90.9629,-7.161,-7.09,0.635,3439.2969,22.4819,1,351.6765001,50.7119545
3818.7107,112.1308,-6.847,-6.783,0.532,3784.1296,22.6353,1,351.6833305,50.7096337
1735.9785,-13.5004,-10.148,-10.038,0.051,1733.9919,24.1463,1,351.6432265,50.7232719
