X,Y,m,M,q,x,y,k,r,d
79.2328,-141.2244,-6.806,-6.643,0.5,47.4875,6.2081,1,351.6113519,50.7345177
1092.6122,-73.6199,-7.541,-7.413,0.255,1086.1469,5.7701,1,351.6308179,50.7278076
1823.2147,-26.662,-8.429,-8.321,0.148,1821.1588,5.8991,1,351.6448648,50.7229903
3324.8331,65.1306,-7.721,-7.648,0.51,3303.3926,5.5144,1,351.6737698,50.7131432
3442.5875,72.9587,-7.845,-7.774,0.456,3418.2544,6.2891,1,351.6760302,50.7123628
3788.6118,93.3804,-8.529,-8.465,0.557,3754.7329,6.2256,1,351.6826957,50.7101016
3957.1766,102.5648,-8.537,-8.475,0.522,3918.123,5.5374,1,351.6859495,50.7090096
4059.9997,108.6314,-6.838,-6.778,0.533,4017.624,5.5944,1,351.68793,50.7083376
1563.7964,-42.6322,-8.658,-8.543,0.58,1561.3615,6.3634,1,351.639871,50.7246922
2943.8763,43.318,-7.676,-7.595,0.244,2930.5251,6.6143,1,351.6664244,50.7156235
3249.9836,61.6554,-8.376,-8.301,0.552,3230.3018,6.4903,1,351.6723193,50.7136204
3741.5055,90.9189,-8.95,-8.884,0.614,3709.0151,6.5282,1,351.6817854,50.7104055
3911.2788,101.6797,-7.296,-7.234,0.328,3873.6831,7.2793,1,351.6850488,50.7092867
2828.763,37.0863,-8.623,-8.54,0.571,2817.4668,7.3526,1,351.6642013,50.7163684
3518.0356,79.1771,-7.405,-7.335,0.363,3491.7678,7.9646,1,351.6774675,50.7118476
3527.1404,79.9563,-11.095,-11.026,0.032,3500.6362,8.1955,1,351.6776407,50.7117851
4106.465,114.1066,-9.496,-9.437,0.086,4062.5872,8.2648,1,351.6887999,50.7079996
309.9618,-122.2747,-6.387,-6.232,0.688,286.1133,9.2859,1,351.6157519,50.7329456
1032.6276,-74.2299,-5.946,-5.816,0.606,1025.3223,9.0224,1,351.6296348,50.7281624
1427.092,-48.1825,-7.843,-7.724,0.24,1423.9476,9.4928,1,351.6372131,50.725553
2455.0493,16.1592,-6.629,-6.537,0.569,2449.0645,9.2559,1,351.6569902,50.7187952
2467.0119,16.2324,-7.351,-7.259,0.385,2460.8875,8.6108,1,351.6572265,50.718725
494.0951,-108.9819,-9.281,-9.133,0.527,475.6169,10.0846,1,351.6192799,50.7317138
825.6313,-87.1238,-9.052,-8.915,0.69,814.8164,9.7614,1,351.6256506,50.7295217
1161.1185,-64.9855,-10.09,-9.963,0.048,1155.525,9.865,1,351.6320964,50.7273029
1669.1578,-32.0563,-7.783,-7.671,0.224,1667.0403,10.1477,1,351.6418619,50.7239497
2343.6382,10.5549,-10.664,-10.569,0.048,2338.8469,10.4916,1,351.6548345,50.7195106
2609.0489,25.9115,-8.004,-7.915,0.167,2601.1389,9.5365,1,351.6599516,50.7177811
2636.8581,28.1674,-8.04,-7.952,0.133,2628.5642,10.0729,1,351.6604818,50.7175917
3347.4159,70.8893,-6.858,-6.785,0.427,3325.469,9.7841,1,351.6741644,50.7129401
3713.0989,92.409,-6.264,-6.199,0.652,3681.4631,9.5883,1,351.6812093,50.7105514
272.6615,-123.2139,-9.208,-9.052,0.507,247.6198,10.8709,1,351.6150212,50.7331731
2257.6313,5.575,-8.745,-8.649,0.492,2253.6096,10.8328,1,351.6531763,50.720071
2299.8926,8.5159,-7.92,-7.825,0.573,2295.5076,11.1443,1,351.6539866,50.7197895
3818.6158,100.403,-9.616,-9.552,0.681,3783.906,11.3061,1,351.6832256,50.7098397
