X,Y,m,M,q,x,y,k,r,d
536.1489,-110.6963,-8.881,-8.793,0.566,518.7946,5.5988,1,351.6200374,50.7314795
2470.6883,14.1279,-7.493,-7.459,0.335,2464.5081,6.3431,1,351.657227,50.7187175
3530.7803,77.8792,-11.021,-11.01,0.028,3504.1553,5.9767,1,351.6776401,50.7117775
4110.0972,111.9847,-9.451,-9.451,0.068,4066.0713,6.0126,1,351.6887996,50.7079926
4134.5932,113.7264,-7.942,-7.942,0.592,4089.7454,6.3172,1,351.6892687,50.7078288
1164.8364,-67.1544,-10.04,-9.972,0.044,1159.2859,7.4997,1,351.6320983,50.727296
1430.7735,-50.3092,-7.791,-7.73,0.224,1427.649,7.1785,1,351.6372138,50.7255458
2612.7215,23.7032,-7.936,-7.906,0.256,2604.7454,7.1707,1,351.6599528,50.7177749
3350.7637,68.678,-6.947,-6.933,0.334,3328.7131,7.4488,1,351.6741593,50.7129358
4013.343,107.5706,-6.573,-6.571,0.663,3972.511,7.2002,1,351.6869242,50.7086087
1672.8177,-34.4036,-7.706,-7.653,0.167,1670.698,7.6255,1,351.6418642,50.7239454
2347.303,8.3707,-10.609,-10.573,0.029,2342.4624,8.1443,1,351.6548354,50.7195042
2640.5039,26.0272,-7.971,-7.941,0.21,2632.1443,7.7753,1,351.6604819,50.7175849
2894.2265,42.5465,-8.735,-8.711,0.613,2881.7996,8.7905,1,351.6653564,50.7159082
3230.9644,63.3726,-8.203,-8.186,0.198,3211.7383,9.2601,1,351.6718352,50.7136964
3912.2061,103.6701,-8.2,-8.196,0.167,3874.604,9.1495,1,351.6849573,50.7092438
4021.2731,110.0638,-8.233,-8.231,0.102,3980.2102,9.1602,1,351.6870584,50.7085315
4096.7503,114.1688,-8.445,-8.444,0.206,4053.2061,8.8713,1,351.6885153,50.7080425
178.72,-130.3666,-6.299,-6.198,0.681,150.5461,10.163,1,351.613133,50.7337935
685.8074,-96.573,-9.465,-9.382,0.59,672.0696,9.6259,1,351.6228743,50.7304366
1814.2911,-22.8815,-8.675,-8.625,0.089,1812.261,10.1419,1,351.6445618,50.722982
1919.452,-16.5178,-9.543,-9.495,0.507,1917.2484,9.8873,1,351.6465871,50.7222934
2025.0931,-9.1728,-7.498,-7.454,0.391,2022.525,10.5822,1,351.6486128,50.7215897
2837.8427,40.2518,-9.106,-9.081,0.087,2826.4111,9.89,1,351.6642606,50.7162636
3082.1094,55.6906,-6.513,-6.493,0.602,3066.094,10.497,1,351.6689574,50.7146551
3157.1145,59.8884,-8.16,-8.142,0.374,3139.5247,10.184,1,351.6704045,50.7141679
3804.2186,98.3816,-7.659,-7.653,0.285,3769.9246,10.1714,1,351.6828673,50.7099359
2115.5006,-3.0168,-7.886,-7.844,0.678,2112.4775,11.0741,1,351.6503476,50.7209891
2694.2861,32.7092,-8.053,-8.025,0.399,2685.1643,11.0705,1,351.6614861,50.7171896
1695.8668,-28.5978,-10.151,-10.098,0.597,1693.7935,11.8725,1,351.6422678,50.7237392
1867.0146,-17.3515,-8.917,-8.868,0.658,1864.9326,12.2962,1,351.6455558,50.7226074
1997.1001,-9.6748,-8.997,-8.952,0.089,1994.656,11.8049,1,351.6480628,50.7217581
2966.5563,49.9522,-6.675,-6.653,0.513,2952.8267,11.7176,1,351.6667212,50.7153964
3573.5914,87.008,-9.687,-9.676,0.681,3545.8833,12.3511,1,351.6784044,50.7114149
2022.8035,-6.4631,-7.841,-7.797,0.299,2020.262,13.3659,1,351.6485427,50.721569
2036.8928,-5.6408,-8.03,-7.985,0.602,2034.2839,13.3069,1,351.6488143,50.7214771
2792.0572,40.9436,-7.42,-7.393,0.422,2781.4124,13.2705,1,351.6633474,50.7165201
3260.635,68.8837,-8.084,-8.067,0.35,3240.7683,12.8751,1,351.6723724,50.7134554
