X,Y,m,M,q,x,y,k,r,d
77.0604,-141.8214,-7.958,-7.795,0.657,45.2356,5.7661,1,351.6113469,50.73455
2906.2662,40.1538,-8.189,-8.107,0.193,2893.6001,5.7581,1,351.665741,50.7158933
3688.6371,87.4801,-6.492,-6.425,0.634,3657.6682,6.2189,1,351.6808026,50.7107672
1339.7016,-56.7721,-9.208,-9.087,0.677,1335.9149,6.5866,1,351.6355926,50.7261787
1482.5023,-47.6241,-9.179,-9.062,0.069,1479.6835,6.5614,1,351.6383385,50.7252376
2748.321,31.7136,-7.125,-7.04,0.248,2738.3379,6.8958,1,351.6626898,50.716914
234.0621,-128.674,-8.578,-8.421,0.444,207.768,8.0842,1,351.6143387,50.7334771
2843.6886,39.0483,-6.763,-6.68,0.522,2832.1431,8.376,1,351.6645116,50.7162696
3441.7934,74.7619,-7.695,-7.624,0.456,3417.4983,8.0803,1,351.6760306,50.712357
3607.8932,84.7178,-8.798,-8.731,0.655,3579.2075,8.1692,1,351.6792289,50.7112697
3956.4807,104.5587,-8.301,-8.24,0.301,3917.4729,7.5023,1,351.6859501,50.7090009
4059.2761,110.5057,-6.824,-6.765,0.499,4016.9473,7.4446,1,351.6879311,50.7083305
594.2578,-103.1773,-7.849,-7.705,0.499,578.3649,9.1582,1,351.6212446,50.7310739
1336.4994,-54.9503,-8.847,-8.726,0.434,1332.687,8.5741,1,351.6355125,50.7261744
1697.4067,-31.615,-6.484,-6.373,0.619,1695.3265,8.8274,1,351.6424501,50.7237929
3843.6247,100.0349,-9.662,-9.598,0.456,3808.1345,9.5284,1,351.6837568,50.7097116
3910.603,103.7629,-7.299,-7.237,0.339,3873.0527,9.3299,1,351.6850489,50.7092767
296.6421,-122.2251,-6.293,-6.139,0.608,272.3697,10.2312,1,351.6155201,50.7330343
925.7643,-80.7591,-5.917,-5.784,0.619,916.7668,9.5122,1,351.6276094,50.7288748
1091.5232,-68.9232,-8.699,-8.57,0.657,1085.0461,10.4505,1,351.6307859,50.7277673
1173.2688,-63.9918,-5.519,-5.393,0.577,1167.8226,10.065,1,351.6323607,50.7272324
2136.4611,-3.1444,-6.558,-6.458,0.599,2133.3098,9.6755,1,351.6508882,50.7208942
